STEM_ID,IND_ID,MESH,X,Y,SP,LT,LD05,LD15,LD20,LD24,DBH05,DBH15,DBH20,DBH24,BA24,TBA24,X_modified,Y_modified,ALT,slope,TPI
1334,1334,ALT800A01,98.8,10.35,シキミ,EB,0,0,0,0,16.4,17.5,18.3,18.5,0.02688,0.02688,47533.73596,-92663.81493,770.62677,1.504679953,0.1199646
1335,1335,ALT800A01,,,アブラチャン,DB,0,0,0,1,9.7,11,10.8,,,,,,,,
1336,1335,ALT800A01,,,アブラチャン,DB,0,0,0,1,5.3,7.3,7.7,,,,,,,,
1337,1335,ALT800A01,,,アブラチャン,DB,0,1,1,1,6.5,,,,,,,,,,
1338,1343,ALT800A01,98.1,6.7,アブラチャン,DB,0,0,0,1,5.7,6,6,,,,47532.15629,-92667.17902,767.9608154,2.375279364,0.117927551
1339,1343,ALT800A01,98.1,6.7,アブラチャン,DB,0,0,0,0,5.6,6.7,7,7.1,0.003959,0.02656,47532.15629,-92667.17902,767.9608154,2.375279364,0.117927551
1340,1343,ALT800A01,98.1,6.7,アブラチャン,DB,0,0,0,0,4.7,5,5,5,0.001963,0.02656,47532.15629,-92667.17902,767.9608154,2.375279364,0.117927551
1341,1343,ALT800A01,98.1,6.7,アブラチャン,DB,0,0,0,0,5.5,6.2,6.7,6.7,0.003526,0.02656,47532.15629,-92667.17902,767.9608154,2.375279364,0.117927551
1342,1343,ALT800A01,98.1,6.7,アブラチャン,DB,0,0,0,0,7.8,8.9,9.1,9.2,0.006648,0.02656,47532.15629,-92667.17902,767.9608154,2.375279364,0.117927551
1343,1343,ALT800A01,98.1,6.7,アブラチャン,DB,0,0,0,1,7.9,8.1,8.2,,,,47532.15629,-92667.17902,767.9608154,2.375279364,0.117927551
1344,1344,ALT800A01,95.65,1.2,アブラチャン,DB,0,0,0,0,6.6,7.8,8,8.1,0.005153,0.016478,47528.42396,-92671.90366,766.7298584,2.751858337,-0.084404297
1345,1344,ALT800A01,95.65,1.2,アブラチャン,DB,0,0,0,0,5.8,6.7,10.1,6.9,0.003739,0.016478,47528.42396,-92671.90366,766.7298584,2.751858337,-0.084404297
1695,1344,ALT800A01,95.65,1.2,アブラチャン,DB,,,0,0,,,5,5.4,0.00229,0.016478,47528.42396,-92671.90366,766.7298584,2.751858337,-0.084404297
1346,1346,ALT800A01,92.65,2.1,ヒメシャラ,DB,0,0,0,0,60.8,63.7,64.8,65.5,0.336955,0.336955,47525.73912,-92670.29069,765.4402466,2.682713969,-0.105986328
1347,1347,ALT800A01,93.1,3.7,ヤマグワ,DB,0,0,0,0,6.2,7.2,7,7.1,0.003959,0.003959,47526.5703,-92668.85137,765.4402466,2.568131532,0.018952743
1348,1348,ALT800A01,92.55,6.5,イヌガヤ,EC,0,0,0,0,5.3,5.9,6.4,7.1,0.003959,0.003959,47526.72879,-92666.00227,765.4402466,2.295870552,0.014714559
1349,1349,ALT800A01,,,リョウブ,DB,0,1,1,1,8.2,,,,,,,,,,
1603,1603,ALT800A01,,,アブラチャン,DB,,0,0,0,,5.3,5.7,6,0.002827,0.002827,,,,,
1604,1604,ALT800A01,,,アブラチャン,DB,,0,0,0,,5.4,6.3,6.6,0.003421,0.003421,,,,,
1,1,ALT800A01,,,イヌガシ,EB,0,0,0,0,14.2,19.8,24.8,25.8,0.052279,0.053916,,,,,
2,2,ALT800A01,,,シキミ,EB,0,0,0,1,14.5,14.9,15,,,,,,,,
3,3,ALT800A01,,,シキミ,EB,0,1,1,1,10.7,,,,,,,,,,
4,4,ALT800A01,,,シキミ,EB,1,1,1,1,16,,,,,,,,,,
5,5,ALT800A01,97.1,14.25,シキミ,EB,0,0,0,0,13.9,15.4,16.4,16.5,0.021382,0.021382,47533.05171,-92659.6159,768.3433228,1.35930623,0.079114278
6,9,ALT800A01,94.35,18.95,アブラチャン,DB,0,0,1,1,6.8,7.1,,,,,47531.54753,-92654.38236,768.3711548,1.279063689,0.026506348
7,9,ALT800A01,94.35,18.95,アブラチャン,DB,0,0,1,1,5.5,5.7,,,,,47531.54753,-92654.38236,768.3711548,1.279063689,0.026506348
8,9,ALT800A01,94.35,18.95,アブラチャン,DB,0,0,1,1,4.9,5,,,,,47531.54753,-92654.38236,768.3711548,1.279063689,0.026506348
9,9,ALT800A01,94.35,18.95,アブラチャン,DB,0,1,1,1,8.3,,,,,,47531.54753,-92654.38236,768.3711548,1.279063689,0.026506348
10,9,ALT800A01,94.35,18.95,アブラチャン,DB,0,1,1,1,5.7,,,,,,47531.54753,-92654.38236,768.3711548,1.279063689,0.026506348
1605,9,ALT800A01,94.35,18.95,アブラチャン,DB,,0,0,0,,5.3,5.8,6.1,0.002922,0.013159,47531.54753,-92654.38236,768.3711548,1.279063689,0.026506348
11,11,ALT800A01,,,アブラチャン,DB,0,1,1,1,5.5,,,,,,,,,,
12,12,ALT800A01,,,イヌガシ,EB,0,1,1,1,5.1,,,,,,,,,,
13,13,ALT800A01,91.9,16.45,シキミ,EB,0,0,0,0,24.7,27,28.2,28.9,0.065597,0.065597,47528.55604,-92656.19991,768.3711548,1.440417979,0.028213501
14,14,ALT800A01,90.5,15.85,シキミ,EB,0,0,0,0,18.3,19.7,20.5,20.9,0.034307,0.034307,47527.05123,-92656.43561,766.4664917,1.5562435,0.035029093
15,17,ALT800A01,90.8,14.7,アブラチャン,DB,0,0,0,0,6,7.1,7.6,7.8,0.004778,0.004778,47527.05795,-92657.62407,766.4664917,1.5562435,0.035029093
16,17,ALT800A01,90.8,14.7,アブラチャン,DB,0,1,1,1,5.1,,,,,,47527.05795,-92657.62407,766.4664917,1.5562435,0.035029093
17,17,ALT800A01,90.8,14.7,アブラチャン,DB,0,1,1,1,8.3,,,,,,47527.05795,-92657.62407,766.4664917,1.5562435,0.035029093
1311,17,ALT800A01,90.8,14.7,アブラチャン,DB,0,0,0,1,4.9,5.2,5.2,,,,47527.05795,-92657.62407,766.4664917,1.5562435,0.035029093
18,18,ALT800A01,92.8,14.7,シキミ,EB,0,0,0,0,15.9,16.5,16.4,16.4,0.021124,0.021124,47528.99601,-92658.11797,768.3711548,1.447702811,0.025913404
19,19,ALT800A01,94.9,14.5,シキミ,EB,0,0,0,0,15.8,15.6,16.3,15.5,0.018869,0.018869,47530.98158,-92658.83036,768.3711548,1.367148006,0.043457031
20,20,ALT800A01,,,シキミ,EB,1,1,1,1,6.4,,,,,,,,,,
21,21,ALT800A01,97.5,19.1,シキミ,EB,0,0,0,0,12.6,13.8,14.6,14.5,0.016513,0.016513,47534.63701,-92655.01489,770.3209839,1.145787147,0.077795941
22,22,ALT800A01,91.75,12,シキミ,EB,0,0,0,0,12.6,13.8,14.4,15,0.017671,0.017671,47527.31177,-92660.47505,765.9087524,1.695398095,0.038879395
23,23,ALT800A01,90.2,11.9,シロダモ,EB,0,0,0,0,7,11.8,14.5,15.1,0.017908,0.017908,47525.78508,-92660.18919,765.9087524,1.746991599,0.026481934
1312,1312,ALT800A01,93.35,13.15,シキミ,EB,0,0,0,0,5.4,10.8,14.9,17,0.022698,0.022698,47529.14621,-92659.75578,768.3433228,1.440696388,0.052614848
1528,9,ALT800A01,94.35,18.95,アブラチャン,DB,,0,0,0,,6,6.4,6.6,0.003421,0.013159,47531.54753,-92654.38236,768.3711548,1.279063689,0.026506348
1551,1551,ALT800A01,90.9,17.2,イヌガシ,EB,,0,0,0,,6.1,6.8,7.2,0.004072,0.009455,47527.77222,-92655.2262,766.4664917,1.472984831,0.020168139
1552,1552,ALT800A01,94.3,12.9,アブラチャン,DB,,0,0,1,,5.6,5.6,,,,47530.00505,-92660.23264,768.3433228,1.474530851,0.059544881
1574,1574,ALT800A01,99,14.15,アカガシ,EB,,0,0,0,,8.2,11.1,13.4,0.014103,0.019513,47534.86817,-92660.18201,770.62677,1.349115862,0.133552246
1694,1574,ALT800A01,99,14.15,アカガシ,EB,,,0,0,,,6.7,8.3,0.005411,0.019513,47534.86817,-92660.18201,770.62677,1.349115862,0.133552246
1606,9,ALT800A01,94.35,18.95,アブラチャン,DB,,0,0,0,,5.5,5.6,5.7,0.002552,0.013159,47531.54753,-92654.38236,768.3711548,1.279063689,0.026506348
1607,1607,ALT800A01,96.75,19.6,ミヤマイボタ,DB,,0,0,0,,5.4,6.5,7.3,0.004185,0.004185,47534.03372,-92654.34517,770.3209839,1.193476475,0.040283203
