"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-2.4177608825353,0.319007558230542,-7.57900814622083,3.74994923141132e-08,NA,NA,NA,NA,NA,NA,NA,-2.4177608825353,0.319007558230542,0.95,-3.07231032550059,-1.76321143957001,-7.57900814622083,27,3.48206649051066e-14
"DBH05",0.186166651324957,0.115575608273166,1.61077803618345,0.118858623176233,1.18323684192097,1.0314592260329,2.06727801256325,1.08776690606075,0.845139336919656,0.483727874975114,0.969500271810166,0.186166651324957,0.115575608273166,0.95,-0.0509749086906956,0.423308211340609,1.61077803618345,27,0.107228109936032
"PLOT",NA,NA,NA,NA,2.11013690560187,1.55937557717592,3.20317797105343,1.20525143796662,0.473902900492029,0.312189959170808,0.6412823277706,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.402343194228369,0.358658144715018,1.12180135919697,0.271824793741347,NA,NA,NA,NA,NA,NA,NA,0.402343194228369,0.358658144715018,0.95,-0.333562532082106,1.13824892053884,1.12180135919697,27,0.261946908198655
"PLOTALT800",0.547914802817218,0.408009578677199,1.34289691088529,0.1904863266472,NA,NA,NA,NA,NA,NA,NA,0.547914802817218,0.408009578677199,0.95,-0.289251701728922,1.38508130736336,1.34289691088529,27,0.17930535685874
"slope",0.059935254914909,0.124830111072473,0.480134595731573,0.634998786048322,1.38031441007447,1.12737464753486,2.13554033953818,1.17486782664029,0.724472622107919,0.468265563279529,0.887016576243413,0.059935254914909,0.124830111072473,0.95,-0.196194976359214,0.316065486189032,0.480134595731573,27,0.631131689802722
"TPI",0.0789417108996526,0.133511581278615,0.591272383591319,0.559256050540372,1.57898202932093,1.23998864261045,2.39681689362577,1.25657551676011,0.633319430766457,0.41722002321473,0.806458999410497,0.0789417108996526,0.133511581278615,0.95,-0.195001425871347,0.352884847670652,0.591272383591319,27,0.554337930298713
"two_DB",0.0706109972326639,0.114956833449699,0.614239233229753,0.544198783938828,1.17060100555476,1.02662179810446,2.09326586363884,1.08194316188733,0.854262037410511,0.477722403718773,0.974068543884791,0.0706109972326639,0.114956833449699,0.95,-0.165260941717371,0.306482936182699,0.614239233229753,27,0.539057251173994
"two_EB",0.0935384329558541,0.141042195662279,0.663194673882053,0.512828745216206,1.76212790370673,1.34845396392639,2.66690295344474,1.32745165776639,0.567495695344501,0.374966775115808,0.741590018459534,0.0935384329558541,0.141042195662279,0.95,-0.195856248215394,0.382933114127102,0.663194673882053,27,0.507205882192234
"(Intercept)",-2.35461170466266,0.321917059700296,-7.3143427280766,7.22568919702665e-08,NA,NA,NA,NA,NA,NA,NA,-2.35461170466266,0.321917059700296,0.95,-3.01513095153133,-1.69409245779399,-7.3143427280766,27,2.58644233612987e-13
