"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-2.39161822304472,0.180375613162504,-13.2590996150353,1.28937225776491e-26,NA,NA,NA,NA,NA,NA,NA,-2.39161822304472,0.180375613162504,0.95,-2.73349457230654,-2.01336311379825,-13.2590996150353,142,3.99665407779057e-40
"DBH05",0.26134426966138,0.0728805240871725,3.5859274193581,0.000461131912297221,1.12546602565136,1.02841630734511,1.55396795232989,1.06087983563237,0.888520823559518,0.643513914492692,0.972368867410838,0.26134426966138,0.0728805240871725,0.95,0.099214314033233,0.42380334120829,3.5859274193581,142,0.00033588237591928
"PLOT",NA,NA,NA,NA,1.28458692179959,1.12517962908632,1.64698798558925,1.06461081586042,0.778460361871886,0.607168970720953,0.888746982392521,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.36934972032175,0.208904337600212,1.76803279704315,0.0792029663318184,NA,NA,NA,NA,NA,NA,NA,0.36934972032175,0.208904337600212,0.95,-0.060168593959983,0.773861045965771,1.76803279704315,142,0.077055420913784
"PLOTALT800",0.15438043352629,0.223971849555879,0.689284987521494,0.491768731681795,NA,NA,NA,NA,NA,NA,NA,0.15438043352629,0.223971849555879,0.95,-0.303087084946542,0.59798650361029,0.689284987521494,142,0.490643943363504
"slope",0.110506459602951,0.0813960165911023,1.35763965155797,0.176731655639119,1.40383387790874,1.20732026667991,1.78661774634218,1.18483495808857,0.712334996139058,0.559716818019604,0.828280637373849,0.110506459602951,0.0813960165911023,0.95,-0.0497682401527862,0.274341054208662,1.35763965155797,142,0.174578054609944
"TPI",-0.14009236650113,0.0777036006348062,-1.80290701275917,0.0735233632782112,1.27935686173415,1.12168092618018,1.64135159591403,1.13108658454344,0.781642737777255,0.60925398463644,0.89151912692805,-0.14009236650113,0.0777036006348062,0.95,-0.28916021454266,0.00532231084061751,-1.80290701275917,142,0.0714028194775231
"two_DB",0.0436228242179681,0.0707951258094572,0.616184005878844,0.538759592431383,1.06197949478244,1.00416074162372,1.92326275479142,1.03052389335834,0.94163776693717,0.519949755959606,0.995856498415794,0.0436228242179681,0.0707951258094572,0.95,-0.0961609945385403,0.191658836284365,0.616184005878844,142,0.537773083272265
"two_EB",0.0944363613207013,0.0742614050266542,1.27167485299808,0.205567511014999,1.16851889449421,1.0516904184545,1.54939810221396,1.08098052456749,0.855784193744551,0.645411917422054,0.950850157472705,0.0944363613207013,0.0742614050266542,0.95,-0.0531638165726237,0.249169682504137,1.27167485299808,142,0.203488668978997
"(Intercept)",-2.32923059792693,0.195013414326155,-11.9439506557808,3.36983373158931e-23,NA,NA,NA,NA,NA,NA,NA,-2.32923059792693,0.195013414326155,0.95,-2.68831555619645,-1.93638032660947,-11.9439506557808,142,6.98260582273448e-33
"DBH05",0.25263836511903,0.0749943976976673,3.3687631726508,0.000972213296219388,1.20018960118875,1.07062059294672,1.56748144913402,1.0955316522989,0.833201686641454,0.637966082821882,0.934037703541317,0.25263836511903,0.0749943976976673,0.95,0.0887261243108807,0.416482851888343,3.3687631726508,142,0.000755062757134035
"PLOT",NA,NA,NA,NA,1.53382040278345,1.29980547973149,1.95049704456071,1.11286793068656,0.651966813184438,0.512689830927285,0.769345887206581,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.288623603787905,0.225619913017435,1.27924703067145,0.202896496354731,NA,NA,NA,NA,NA,NA,NA,0.288623603787905,0.225619913017435,0.95,-0.156945857658826,0.713492535037566,1.27924703067145,142,0.200810078982547
"PLOTALT800",0.0828545015638317,0.242428658289945,0.341768593483439,0.733030306628296,NA,NA,NA,NA,NA,NA,NA,0.0828545015638317,0.242428658289945,0.95,-0.391421341950801,0.544205817087625,0.341768593483439,142,0.732525046645266
"slope",0.0954749681558684,0.080604066293478,1.18449319676064,0.238196660081536,1.38645608958711,1.19513542790674,1.76535722283265,1.17747870026897,0.721263376107211,0.566457591169806,0.836725258619006,0.0954749681558684,0.080604066293478,0.95,-0.0597799348351653,0.254219534830951,1.18449319676064,142,0.236217887767539
"TPI",-0.0864945488616933,0.0810419334454915,-1.0672814083325,0.287655925371216,1.4015603527771,1.20572303064615,1.78382433126715,1.18387514239345,0.713490502223872,0.560593317666906,0.829377870856541,-0.0864945488616933,0.0810419334454915,0.95,-0.240870689457064,0.0633383422579034,-1.0672814083325,142,0.28584478085255
"two_DB",-0.0963302785761972,0.0724906558074472,-1.3288647688893,0.186023956376097,1.12138895438984,1.02641824047082,1.55776910139541,1.05895654036879,0.891751248382955,0.641943661036943,0.974261719609829,-0.0963302785761972,0.0724906558074472,0.95,-0.246023852190783,0.0536469763162052,-1.3288647688893,142,0.183892589032394
"two_EB",-0.106551216560838,0.0816897345671976,-1.3043403449082,0.194227743881016,1.42405638825366,1.22156520343779,1.81160677592243,1.19333833771218,0.702219384182049,0.551996168975919,0.818621877232383,-0.106551216560838,0.0816897345671976,0.95,-0.265718358205462,0.0533458138785043,-1.3043403449082,142,0.19211756519429
"(Intercept)",-2.29325477237381,0.193479925674066,-11.8526754875697,5.82660291568684e-23,NA,NA,NA,NA,NA,NA,NA,-2.29325477237381,0.193479925674066,0.95,-2.65254530423709,-1.90019392888671,-11.8526754875697,142,2.08428147221604e-32
"DBH05",0.24750613169997,0.077694608890208,3.18562813090065,0.00177600192081831,1.26598882808918,1.11279473041757,1.62724611696251,1.1251616897536,0.789896385981026,0.614535188977219,0.898638331639791,0.24750613169997,0.077694608890208,0.95,0.0794011750502421,0.416444347543683,3.18562813090065,142,0.00144440126992972
"PLOT",NA,NA,NA,NA,1.48405564424706,1.26416877156777,1.88697034602867,1.10372923546287,0.673829181457244,0.529950034511462,0.791033620265623,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.232830155139808,0.225550674070919,1.03227425987031,0.303698583824063,NA,NA,NA,NA,NA,NA,NA,0.232830155139808,0.225550674070919,0.95,-0.216954191267541,0.663230796492693,1.03227425987031,142,0.301943655751251
"PLOTALT800",0.0755576057878851,0.237539976840065,0.31808374654662,0.750888720149782,NA,NA,NA,NA,NA,NA,NA,0.0755576057878851,0.237539976840065,0.95,-0.392471909952346,0.530109271162495,0.31808374654662,142,0.750421412243674
"slope",0.101659300091974,0.0808175562319753,1.25788634093532,0.210497438309656,1.3698074746723,1.18351683280218,1.74520449288113,1.17038774543837,0.730029597947136,0.572998754059539,0.844939397805035,0.101659300091974,0.0808175562319753,0.95,-0.0573201668918503,0.264007305780781,1.25788634093532,142,0.20843286419471
"TPI",-0.0727045837274286,0.0865447445320031,-0.840080863610886,0.402275275807011,1.57083114739406,1.32644417475841,1.99817434045613,1.25332802864775,0.636605660423119,0.500456831895723,0.753895278089737,-0.0727045837274286,0.0865447445320031,0.95,-0.24044517650782,0.09126622203442,-0.840080863610886,142,0.400863048835089
"two_DB",-0.0564975184645624,0.0757450241417753,-0.745890823914895,0.456966342178657,1.20325124650621,1.07250877113262,1.56973892345752,1.09692809541292,0.831081623978058,0.637048610476826,0.932393307090582,-0.0564975184645624,0.0757450241417753,0.95,-0.220295595511833,0.101290329203329,-0.745890823914895,142,0.455733368765902
"two_EB",-0.10824179679539,0.0850930349555689,-1.27204061827044,0.205437900052,1.51857459756148,1.28886373867033,1.93095663191897,1.232304587982,0.65851226644104,0.517878021427239,0.77587720873555,-0.10824179679539,0.0850930349555689,0.95,-0.28627332653724,0.06815338733175,-1.27204061827044,142,0.203358687834676
"(Intercept)",-2.37292958296364,0.191523794738541,-12.3897377148519,2.32708107712256e-24,NA,NA,NA,NA,NA,NA,NA,-2.37292958296364,0.191523794738541,0.95,-2.73302931390293,-1.97730825145618,-12.3897377148519,142,2.97013221505242e-35
"DBH05",0.211609386336199,0.0817681696404502,2.58791883524707,0.0106591873905374,1.39284455680267,1.19960838656494,1.77314810497342,1.18018835649343,0.717955205493668,0.563968682139494,0.833605375887277,0.211609386336199,0.0817681696404502,0.95,0.0341433456685067,0.390193341558187,2.58791883524707,142,0.00965577293731455
"PLOT",NA,NA,NA,NA,1.44132010527906,1.23377550530807,1.83312165261653,1.09569608827551,0.693808402684,0.545517532113942,0.810520224868871,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.337424437223093,0.222830407883563,1.51426567149403,0.132181156287597,NA,NA,NA,NA,NA,NA,NA,0.337424437223093,0.222830407883563,0.95,-0.115768929913688,0.769318559143872,1.51426567149403,142,0.129958471492818
"PLOTALT800",0.150395120326442,0.235966649477646,0.637357527681848,0.524918286032265,NA,NA,NA,NA,NA,NA,NA,0.150395120326442,0.235966649477646,0.95,-0.320072879441177,0.605440950203698,0.637357527681848,142,0.523891986943709
"slope",0.0937239358702822,0.0811432215074869,1.15504331882651,0.250012643909465,1.37163510097482,1.18478945556146,1.74740546129611,1.17116826330584,0.729056874739716,0.572277025652801,0.844031819582757,0.0937239358702822,0.0811432215074869,0.95,-0.0642639744577487,0.255582891443074,1.15504331882651,142,0.248072687593594
"TPI",-0.0821207025876777,0.0874466418247548,-0.939094982655246,0.349276620683644,1.59301685523918,1.34245844297789,2.02689537317227,1.26214771530086,0.627739748459758,0.493365377037155,0.744902015575071,-0.0821207025876777,0.0874466418247548,0.95,-0.254073610578232,0.0866179223648821,-0.939094982655246,142,0.347681980070204
"two_DB",-0.113195006599124,0.078813983426584,-1.43622998962572,0.153136314861766,1.29401900625361,1.13151825605016,1.6573017209519,1.13754956210866,0.772786176375538,0.603390431179684,0.883768330429548,-0.113195006599124,0.078813983426584,0.95,-0.291945327693651,0.0571076464544738,-1.43622998962572,142,0.150936908067998
"two_EB",-0.0462105967386516,0.0862406535857288,-0.535833099788782,0.592912205913293,1.54938082602711,1.31099265366806,1.9705029634828,1.24474126870893,0.645419114010967,0.507484646575984,0.762780780809163,-0.0462105967386516,0.0862406535857288,0.95,-0.229039356765365,0.132260964603696,-0.535833099788782,142,0.592073903964989
"(Intercept)",-2.36773591581637,0.194415578205736,-12.178735560536,8.24263088683879e-24,NA,NA,NA,NA,NA,NA,NA,-2.36773591581637,0.194415578205736,0.95,-2.72882412358055,-1.97124750469114,-12.178735560536,142,4.03488727255205e-34
"DBH05",0.207749656572996,0.0847370317597846,2.45169853437789,0.0154319995949225,1.47492968899098,1.25766035954158,1.87540904579337,1.21446683321982,0.677998420849549,0.53321700790718,0.795127231619596,0.207749656572996,0.0847370317597846,0.95,0.0235582990294863,0.391021421392903,2.45169853437789,142,0.0142183726680515
"PLOT",NA,NA,NA,NA,1.47628430831835,1.25862586156943,1.87712319631807,1.10228145519656,0.677376298295217,0.532730085037293,0.794517283121024,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.334324612139527,0.225956295323301,1.47959857308322,0.14119550982705,NA,NA,NA,NA,NA,NA,NA,0.334324612139527,0.225956295323301,0.95,-0.11797474442633,0.765416503809857,1.47959857308322,142,0.138980407538714
"PLOTALT800",0.13830295937219,0.240218442606249,0.575738306649869,0.56570337439516,NA,NA,NA,NA,NA,NA,NA,0.13830295937219,0.240218442606249,0.95,-0.335202659670288,0.597459897200252,0.575738306649869,142,0.564792078904646
"slope",0.0900277952271593,0.08231213122467,1.09373665688997,0.275922394084215,1.39172207728095,1.19882191078233,1.771777040194,1.17971270963779,0.718534265083826,0.564405101383697,0.834152254814413,0.0900277952271593,0.08231213122467,0.95,-0.0696394546502103,0.253886946919496,1.09373665688997,142,0.274070492295902
"TPI",-0.097319944470935,0.0887864722813342,-1.09611230146143,0.274885116300158,1.61926684934792,1.36144529293469,2.06099439720908,1.27250416476643,0.617563436442055,0.485202677578435,0.734513538802895,-0.097319944470935,0.0887864722813342,0.95,-0.268166714813281,0.069715616901825,-1.09611230146143,142,0.273029631888692
"two_DB",-0.119784804373748,0.0815056080706623,-1.46965107321081,0.143868391451256,1.36458253045294,1.17988261438053,1.73892867284151,1.16815347041942,0.732824858653346,0.575066715281624,0.847541940030216,-0.119784804373748,0.0815056080706623,0.95,-0.31132382485276,0.0575472306894013,-1.46965107321081,142,0.141656280200534
"two_EB",-0.0458701191149802,0.0903856557606645,-0.507493348684014,0.612596004726159,1.67812323244999,1.40414730807566,2.13783046230839,1.29542395857495,0.59590379339427,0.467763939952572,0.712175990545087,-0.0458701191149802,0.0903856557606645,0.95,-0.240279593310692,0.142426519994096,-0.507493348684014,142,0.611808702134135
"(Intercept)",-2.38475224856738,0.191147511839086,-12.475978502796,1.38819411086269e-24,NA,NA,NA,NA,NA,NA,NA,-2.38475224856738,0.191147511839086,0.95,-2.73525481664653,-2.00062230632122,-12.475978502796,142,1.00958304469608e-35
"DBH05",0.124939639273848,0.0853608900930038,1.46366373567242,0.145495984559817,1.55493024294053,1.31498692201779,1.97765193728471,1.24696842098769,0.643115666789591,0.505650150639241,0.760463836754776,0.124939639273848,0.0853608900930038,0.95,-0.0641769389375754,0.313167394934465,1.46366373567242,142,0.143285848649616
"PLOT",NA,NA,NA,NA,1.48150517325868,1.2623489220512,1.88373617113482,1.10325471730333,0.674989205606637,0.53085990242337,0.792174003979101,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.356369377222916,0.223618614473148,1.59364808722446,0.113238351988092,NA,NA,NA,NA,NA,NA,NA,0.356369377222916,0.223618614473148,0.95,-0.0820965744983702,0.774728709456607,1.59364808722446,142,0.111014877584499
"PLOTALT800",0.104047750197789,0.233481983456349,0.445635027840347,0.656539582415816,NA,NA,NA,NA,NA,NA,NA,0.104047750197789,0.233481983456349,0.95,-0.354908782186736,0.550100643076086,0.445635027840347,142,0.655860904000585
"slope",0.0982089695165306,0.0804911976114177,1.22012061481117,0.224441598764209,1.3825785634264,1.19242437532333,1.76064353566158,1.17583100972308,0.723286203368965,0.567974141128029,0.838627606659621,0.0982089695165306,0.0804911976114177,0.95,-0.0578299333398794,0.258052808208014,1.22012061481117,142,0.222419154835273
"TPI",-0.0484583749128281,0.0895870049766379,-0.540908527140347,0.58941814491815,1.71270701291595,1.429309986057,2.18318069170682,1.30870432600949,0.583871025492832,0.458047290267208,0.699638293830627,-0.0484583749128281,0.0895870049766379,0.95,-0.222448777873801,0.12339369462507,-0.540908527140347,142,0.588570633161768
"two_DB",-0.251826472603938,0.0828400197778137,-3.03991323613109,0.00281830610716779,1.4644462232691,1.25019538638148,1.86216735419746,1.21014305900959,0.682851977840258,0.537008662377164,0.799874972258829,-0.251826472603938,0.0828400197778137,0.95,-0.445593656527615,-0.06954084122432,-3.03991323613109,142,0.00236646311559438
"two_EB",-0.111307571077722,0.0916249895880817,-1.21481673916829,0.226452173639718,1.79151693198027,1.48680761901238,2.28695408441323,1.33847560006908,0.558186184092962,0.437262823427683,0.672581971744437,-0.111307571077722,0.0916249895880817,0.95,-0.301563143259393,0.0724334605216151,-1.21481673916829,142,0.224435995035881
"(Intercept)",-2.40264843028841,0.186524673078402,-12.881129293166,1.2296637866497e-25,NA,NA,NA,NA,NA,NA,NA,-2.40264843028841,0.186524673078402,0.95,-2.74540435064444,-2.02697049691348,-12.881129293166,142,5.7488175887637e-38
"DBH05",0.0692488187658237,0.0904095666792274,0.765945699214753,0.444979944740669,1.80565486178829,1.49714189082651,2.30562273729137,1.343746576475,0.553815693775286,0.433722301496208,0.6679393624127,0.0692488187658237,0.0904095666792274,0.95,-0.127565987307115,0.267402354608635,0.765945699214753,142,0.443708612616456
"PLOT",NA,NA,NA,NA,1.45243529880485,1.24165892424746,1.84705210139489,1.09780245784096,0.68849882733011,0.541403244253264,0.805374149431638,NA,NA,NA,NA,NA,NA,NA,NA
