"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-0.75673388039629,0.110879398997289,-6.82483750128183,7.30199204039791e-09,NA,NA,NA,NA,NA,NA,NA,-0.75673388039629,0.110879398997289,0.95,-0.963780603780429,-0.533848585213401,-6.82483750128183,55,8.80248964729654e-12
"DBH05",-0.0813742408090214,0.0816420140402625,-0.996720154023773,0.323265429868406,1.3098556838045,1.10511087505561,1.91342161061035,1.14448926766681,0.763442883337712,0.522623970825236,0.904886579773891,-0.0813742408090214,0.0816420140402625,0.95,-0.236877175522494,0.0778732680815329,-0.996720154023773,55,0.318900364245964
"PLOT",NA,NA,NA,NA,1.58602719334533,1.27227766943788,2.26131486305585,1.12221910325926,0.630506213383863,0.442220593132545,0.785991945014505,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.132361392974065,0.170410551986929,0.776720639835831,0.440651385916542,NA,NA,NA,NA,NA,NA,NA,0.132361392974065,0.170410551986929,0.95,-0.199406040260007,0.461027567938469,0.776720639835831,55,0.437323606905471
"PLOTALT800",0.0368890386969367,0.267273541280907,0.138019792457368,0.890728848957524,NA,NA,NA,NA,NA,NA,NA,0.0368890386969367,0.267273541280907,0.95,-0.462888906264406,0.568039514894539,0.138019792457368,55,0.890224775131351
"slope",0.0229216140415172,0.0770426521537614,0.297518496582521,0.767191588519643,1.16642945681867,1.03176214650745,1.87206839406964,1.08001363732995,0.857317169207477,0.534168518184384,0.969215631126837,0.0229216140415172,0.0770426521537614,0.95,-0.13044187540329,0.170973405531531,0.297518496582521,55,0.766070688747893
"TPI",0.101520952973993,0.0768553505058831,1.32093539754557,0.191992629526044,1.160764839041,1.02936667540358,1.88009054878327,1.07738797052919,0.861500940040686,0.531889275570884,0.971471122870702,0.101520952973993,0.0768553505058831,0.95,-0.0540148285507352,0.249096249367752,1.32093539754557,55,0.186522905760252
"two_DB",-0.060808445591074,0.0752040483225153,-0.808579417563996,0.422240979651862,1.11142066844347,1.01151336580003,2.07827420512921,1.0542393790992,0.899749328398297,0.481168460606394,0.988617682979478,-0.060808445591074,0.0752040483225153,0.95,-0.189351426183078,0.114239467888063,-0.808579417563996,55,0.418757107804154
"two_EB",0.00146378403642387,0.075697766019932,0.0193372157909976,0.984642076819917,1.12606161601965,1.01616009040198,1.98338132016496,1.06116050436287,0.888050871971597,0.504189481787006,0.984096905050079,0.00146378403642387,0.075697766019932,0.95,-0.157631412569909,0.16548418951996,0.0193372157909976,55,0.984572095564796
"(Intercept)",-0.769741521306453,0.109818473931119,-7.00921706296204,3.64316934506498e-09,NA,NA,NA,NA,NA,NA,NA,-0.769741521306453,0.109818473931119,0.95,-0.975803930124787,-0.548095498669171,-7.00921706296204,55,2.39655403863037e-12
"DBH05",-0.0736247538832989,0.0806213370823874,-0.913216730802434,0.36511449392542,1.26171858514333,1.07852485726348,1.8722921657736,1.12326247384275,0.792569763000205,0.534104675691368,0.927192352837635,-0.0736247538832989,0.0806213370823874,0.95,-0.228370676606877,0.0854084352808726,-0.913216730802434,55,0.361128566298887
"PLOT",NA,NA,NA,NA,1.72547741836971,1.36072733059156,2.45904521207547,1.14611268693345,0.579549746263753,0.406661900761062,0.73490109114312,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.153320611483575,0.168277237916219,0.91111913519706,0.3662087098005,NA,NA,NA,NA,NA,NA,NA,0.153320611483575,0.168277237916219,0.95,-0.173743499468259,0.478218479803272,0.91111913519706,55,0.362232605203059
"PLOTALT800",0.0877749103481628,0.278988970455031,0.314617851039064,0.754242271051491,NA,NA,NA,NA,NA,NA,NA,0.0877749103481628,0.278988970455031,0.95,-0.433067998381433,0.64103469462083,0.314617851039064,55,0.753051823817697
"slope",0.0316772333660339,0.0762853275423529,0.415246737302753,0.679576795424931,1.12965164160759,1.01739273713343,1.96646939711606,1.06285071463851,0.88522865206208,0.508525584718765,0.982904598687786,0.0316772333660339,0.0762853275423529,0.95,-0.120162606972434,0.178819813871306,0.415246737302753,55,0.677961287859117
"TPI",0.104886927549778,0.0764448986943255,1.37205921312266,0.175615555089176,1.13438252106718,1.01906871561699,1.94703085048259,1.06507395098518,0.881536855010112,0.513602544999296,0.981288096352319,0.104886927549778,0.0764448986943255,0.95,-0.0431481337235589,0.246268249158838,1.37205921312266,55,0.170045005243086
