"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-1.72758066306003,0.0967388927208392,-17.8581810735144,7.37361888097049e-44,NA,NA,NA,NA,NA,NA,NA,-1.72758066306003,0.0967388927208392,0.95,-1.91097884749292,-1.533268929407,-17.8581810735144,208,2.49642939569589e-71
"DBH05",0.172892686478617,0.0516647068271215,3.34643699919064,0.000971293966899456,1.05351520760691,1.00387427859921,1.73920276301066,1.02640888909192,0.949203194011341,0.574976087474093,0.996140673506828,0.172892686478617,0.0516647068271215,0.95,0.0697571499336106,0.277972751758909,3.34643699919064,208,0.000818572784321245
"PLOT",NA,NA,NA,NA,1.16982297401841,1.06239657456118,1.46220233574168,1.03999209095777,0.854830194148902,0.683899878666767,0.941268095120741,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.18400771743811,0.130809986460331,1.40667943187894,0.161014803283619,NA,NA,NA,NA,NA,NA,NA,0.18400771743811,0.130809986460331,0.95,-0.071739630798726,0.437149063180545,1.40667943187894,208,0.159522467426668
"PLOTALT800",0.050624862673958,0.133828956886978,0.37828033522455,0.705608137610874,NA,NA,NA,NA,NA,NA,NA,0.050624862673958,0.133828956886978,0.95,-0.212571621999315,0.313021435430739,0.37828033522455,208,0.705222352203877
"slope",-0.0909544859002065,0.0567932396259161,-1.60150198332236,0.110783394913482,1.27305203562524,1.13308314228115,1.56023184365138,1.12829607622522,0.785513845479905,0.640930387409424,0.882547769607427,-0.0909544859002065,0.0567932396259161,0.95,-0.202310460129041,0.0198428139788785,-1.60150198332236,208,0.109265781087726
"TPI",-0.0615926825276736,0.0571813725693997,-1.07714592637524,0.282662761671401,1.29051192547201,1.14560438940918,1.57963347934713,1.13600700942909,0.774886291449219,0.633058246152966,0.872901683377564,-0.0615926825276736,0.0571813725693997,0.95,-0.175713618774193,0.050697644173911,-1.07714592637524,208,0.281415078189523
"two_DB",0.0185057271264065,0.0526951647917175,0.351184538459119,0.7258053677608,1.09595924485057,1.01983357530254,1.46427215122989,1.04688072140553,0.91244268862967,0.682933154987663,0.980552145190297,0.0185057271264065,0.0526951647917175,0.95,-0.0794234043472171,0.12358678125309,0.351184538459119,208,0.725449908865476
"two_EB",0.0259916451759862,0.0547249323329539,0.474950704696161,0.635320426228699,1.18201595003476,1.07031007352761,1.47119572494894,1.08720556935418,0.846012272482952,0.679719212774839,0.934308687485416,0.0259916451759862,0.0547249323329539,0.95,-0.0795405149245919,0.134612411597793,0.474950704696161,208,0.634822109648933
"(Intercept)",-1.72019064445845,0.0981647926382126,-17.5234989880561,7.89845014350664e-43,NA,NA,NA,NA,NA,NA,NA,-1.72019064445845,0.0981647926382126,0.95,-1.90667547481243,-1.52291429406467,-17.5234989880561,208,9.48108190115749e-69
"DBH05",0.165863279785235,0.0516007579056665,3.21435743421554,0.00151559503444862,1.04918179239861,1.0028890891542,1.83723574263068,1.02429575435936,0.9531236695538,0.54429596420116,0.997119233636659,0.165863279785235,0.0516007579056665,0.95,0.0624284085085519,0.271355320539371,3.21435743421554,208,0.00130736818693619
"PLOT",NA,NA,NA,NA,1.21482628086509,1.09231007301635,1.499949024438,1.04985312345856,0.823162962269708,0.666689323241952,0.915490962413774,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.177393013019229,0.133061281374029,1.3331677794428,0.183935054432474,NA,NA,NA,NA,NA,NA,NA,0.177393013019229,0.133061281374029,0.95,-0.0838129285209647,0.436343595581512,1.3331677794428,208,0.18247675045743
"PLOTALT800",0.0368731927899712,0.135755078036587,0.271615569179913,0.786187020423615,NA,NA,NA,NA,NA,NA,NA,0.0368731927899712,0.135755078036587,0.95,-0.229093007339672,0.302043465635555,0.271615569179913,208,0.785917626902893
"slope",-0.0902733413359519,0.0560703911588699,-1.61000020635082,0.108914372443288,1.23881300467101,1.10889105182028,1.5237496584579,1.11301976831996,0.807224331864008,0.656275782868456,0.901801848214452,-0.0902733413359519,0.0560703911588699,0.95,-0.201011243845254,0.020060978747971,-1.61000020635082,208,0.107397811247895
"TPI",-0.0515468959434232,0.0592103265515165,-0.870572735290936,0.384991107314711,1.3814446749003,1.21216569456458,1.68578494892116,1.1753487460751,0.72387987602339,0.593195472910091,0.824969725248004,-0.0515468959434232,0.0592103265515165,0.95,-0.169469237375521,0.0642555669993315,-0.870572735290936,208,0.383987488733466
