"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-0.852916660390991,0.0940522517219427,-9.06854056947584,4.92865320302455e-13,NA,NA,NA,NA,NA,NA,NA,-0.852916660390991,0.0940522517219427,0.95,-1.03142671700336,-0.662695152718087,-9.06854056947584,63,1.20621756971128e-19
"DBH05",-0.0472127498258478,0.0737091838926004,-0.640527371658872,0.524152809039162,1.23218433558243,1.066193505354,1.81442379281083,1.11003798835104,0.811566882586055,0.551139157214666,0.9379160489896,-0.0472127498258478,0.0737091838926004,0.95,-0.18760450461491,0.09757651144471,-0.640527371658872,63,0.521829800004432
"PLOT",NA,NA,NA,NA,1.43242991691764,1.1833355122019,2.01996405824241,1.09400257877795,0.698114433515771,0.495058313497969,0.845068866512124,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.230045789957084,0.153988419589691,1.49391616960581,0.140189457674816,NA,NA,NA,NA,NA,NA,NA,0.230045789957084,0.153988419589691,0.95,-0.0729730133014427,0.534141865988483,1.49391616960581,63,0.135197531593851
"PLOTALT800",0.154383014492017,0.251204381564342,0.614571344379493,0.541051153749016,NA,NA,NA,NA,NA,NA,NA,0.154383014492017,0.251204381564342,0.95,-0.31366888524081,0.659634833110391,0.614571344379493,63,0.538837843523721
"slope",0.00229849009598897,0.074413431261349,0.0308881079265972,0.975456420619259,1.25584239303183,1.07895351433867,1.82903630852314,1.12064374045985,0.796278263537366,0.546736002637068,0.926823988902748,0.00229849009598897,0.074413431261349,0.95,-0.14752480320653,0.153167952946966,0.0308881079265972,63,0.975358773899078
"TPI",0.144793268846479,0.0718681728694087,2.01470641405594,0.0482083498247738,1.17140125647019,1.03605871109446,1.81473768273638,1.08231291984813,0.853678442358276,0.551043828269513,0.965196266670672,0.144793268846479,0.0718681728694087,0.95,0.00718959783960707,0.279130397317327,2.01470641405594,63,0.0439354197574094
"two_DB",-0.0430873030804037,0.0688519651887163,-0.625796271207448,0.533709224292968,1.07514034445494,1.00357259309879,2.58038466981143,1.03688974556359,0.930111129358623,0.387539118372254,0.99644012488647,-0.0430873030804037,0.0688519651887163,0.95,-0.160176292993182,0.118277814864609,-0.625796271207448,63,0.531448577913302
"two_EB",-0.00325892916401433,0.0709691266413522,-0.0459203785962249,0.963518963201121,1.14227691380898,1.02360074175878,1.85771542309568,1.06877355590835,0.875444463519317,0.538295579380833,0.97694341084764,-0.00325892916401433,0.0709691266413522,0.95,-0.151317514824191,0.149289246959774,-0.0459203785962249,63,0.963373711538126
"(Intercept)",-0.858295601684878,0.0940803748849948,-9.12300363103433,3.9687752223941e-13,NA,NA,NA,NA,NA,NA,NA,-0.858295601684878,0.0940803748849948,0.95,-1.03713741711413,-0.66773847835394,-9.12300363103433,63,7.30705221979336e-20
"DBH05",-0.0421048067466941,0.0736043382163879,-0.572042460634739,0.569328844636748,1.20903167246661,1.0541964294437,1.80621990309483,1.09955976302637,0.827108191433768,0.553642443141375,0.948589818813652,-0.0421048067466941,0.0736043382163879,0.95,-0.183132572774385,0.103715816321674,-0.572042460634739,63,0.567293209004769
"PLOT",NA,NA,NA,NA,1.59362467077464,1.28517231035675,2.23570990925261,1.12356062522213,0.627500325728462,0.447285220618937,0.77810577767771,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.243073953100902,0.153683172756653,1.58165626555481,0.118735940100775,NA,NA,NA,NA,NA,NA,NA,0.243073953100902,0.153683172756653,0.95,-0.0587815485150279,0.546843402367121,1.58165626555481,63,0.113728061798829
"PLOTALT800",0.168235458746151,0.2661898283496,0.632013100535152,0.529665249670333,NA,NA,NA,NA,NA,NA,NA,0.168235458746151,0.2661898283496,0.95,-0.319281735340122,0.694368138016903,0.632013100535152,63,0.527378316835176
"slope",0.00826970515395274,0.0739819767836958,0.111779997148917,0.911353230830361,1.22146975069764,1.06057462380928,1.80972604350802,1.10520122633738,0.818685849100109,0.552569823254337,0.942885090356287,0.00826970515395274,0.0739819767836958,0.95,-0.142433554236445,0.15979301421987,0.111779997148917,63,0.910997848075538
