"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-1.71744401311534,0.10126406570708,-16.9600539058275,7.86069102628761e-41,NA,NA,NA,NA,NA,NA,NA,-1.71744401311534,0.10126406570708,0.95,-1.90713954679959,-1.51383828770285,-16.9600539058275,204,1.62195583936696e-64
"DBH05",0.170269840786978,0.0520606035955951,3.2706082724209,0.00125984628250515,1.06371146665636,1.00704086530235,1.57651308599071,1.03136388663573,0.940104559691711,0.634311258743267,0.993008361879894,0.170269840786978,0.0520606035955951,0.95,0.0662632533240555,0.276430435252407,3.2706082724209,204,0.00107316452129274
"PLOT",NA,NA,NA,NA,1.29904112047373,1.15376078004065,1.58158908735076,1.06759301751275,0.769798572377232,0.632275480399936,0.866730796625591,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_DB",NA,NA,NA,NA,6.54770781828583,5.22915989210238,8.27734652325238,2.5588489244748,0.15272520212452,0.120811663156887,0.191235307512838,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_EB",NA,NA,NA,NA,2.7938355577503,2.3047642761084,3.4662278598299,1.67147705869698,0.357930872926979,0.288498056226769,0.433883851101902,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.159474282324138,0.13526328890645,1.17899160676503,0.239774769964769,NA,NA,NA,NA,NA,NA,NA,0.159474282324138,0.13526328890645,0.95,-0.103714802766738,0.417877793743348,1.17899160676503,204,0.238401517999691
"PLOTALT700:two_DB",0.0298415641282884,0.150822760573984,0.197858493073067,0.843352797770841,NA,NA,NA,NA,NA,NA,NA,0.0298415641282884,0.150822760573984,0.95,-0.284482552674492,0.3021574333048,0.197858493073067,204,0.843155779836613
"PLOTALT700:two_EB",-0.0182695552331433,0.11826194347089,-0.154483806852373,0.877381007073657,NA,NA,NA,NA,NA,NA,NA,-0.0182695552331433,0.11826194347089,0.95,-0.249403355827303,0.214581753447314,-0.154483806852373,204,0.877228278209046
"PLOTALT800",0.039963914406139,0.137407885003549,0.290841492867071,0.771468022548131,NA,NA,NA,NA,NA,NA,NA,0.039963914406139,0.137407885003549,0.95,-0.229639750648191,0.307719243960306,0.290841492867071,204,0.771172549656413
"PLOTALT800:two_DB",-0.100170597146825,0.15352969847691,-0.652450946888889,0.514844822603105,NA,NA,NA,NA,NA,NA,NA,-0.100170597146825,0.15352969847691,0.95,-0.421188254940529,0.183243214317626,-0.652450946888889,204,0.514110307416478
"PLOTALT800:two_EB",-0.0216927877301031,0.137379303160141,-0.157904336614782,0.87468837072734,NA,NA,NA,NA,NA,NA,NA,-0.0216927877301031,0.137379303160141,0.95,-0.278842790871213,0.248387487603339,-0.157904336614782,204,0.874532180814171
"slope",-0.097545909812318,0.0585860178596581,-1.66500324439165,0.0974471396693538,1.34708004296891,1.18904467968371,1.63722796340446,1.16063777422972,0.742346384848845,0.610788492715817,0.841011290060185,-0.097545909812318,0.0585860178596581,0.95,-0.209093694318597,0.0158465205870464,-1.66500324439165,204,0.0959121085450127
"TPI",-0.0736757352507918,0.0596703936463079,-1.23471173472559,0.218358097589882,1.39740807522241,1.22651437746015,1.69723246719633,1.18212016107603,0.71561057770533,0.589194479440939,0.81531861213954,-0.0736757352507918,0.0596703936463079,0.95,-0.190472640608789,0.0434487982628838,-1.23471173472559,204,0.216937806998208
"two_DB",0.0377925825816868,0.129319428744018,0.292242108929322,0.770398515831332,6.56346234136546,5.24143944424034,8.29754924730165,2.5619255144062,0.152358610134413,0.120517513086795,0.190787284798047,0.0377925825816868,0.129319428744018,0.95,-0.18391827216531,0.321173900216141,0.292242108929322,204,0.77010151789591
"two_EB",0.0384909200537796,0.0875175113451854,0.439808210518741,0.660541599478083,3.0060441987458,2.46986609299581,3.73780948244049,1.73379473950805,0.332663106023932,0.267536375167811,0.404880249514684,0.0384909200537796,0.0875175113451854,0.95,-0.128551545025655,0.211151833567415,0.439808210518741,204,0.660076020504
"(Intercept)",-1.69222032860491,0.104950400059716,-16.1240007436089,2.94957945725475e-38,NA,NA,NA,NA,NA,NA,NA,-1.69222032860491,0.104950400059716,0.95,-1.89183906769732,-1.47720389212614,-16.1240007436089,204,1.73035235995017e-58
"DBH05",0.172328974896522,0.0512544314691744,3.36222585943938,0.000923172442546518,1.05412255328385,1.00423118341869,1.6923005892443,1.02670470598115,0.94865629891397,0.590911571121389,0.995786644063083,0.172328974896522,0.0512544314691744,0.95,0.0688736956078952,0.27750899637179,3.36222585943938,204,0.000773168549420936
"PLOT",NA,NA,NA,NA,1.40337403310595,1.2309823843331,1.70442865612436,1.08841209467032,0.71256840757328,0.586706868842412,0.812359309708372,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_DB",NA,NA,NA,NA,3.93450665834184,3.1927967929029,4.92709865124009,1.98355908869432,0.254161471014371,0.20295919988294,0.31320502520638,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_EB",NA,NA,NA,NA,4.17341103931938,3.37890136701488,5.23327245261578,2.04289281151004,0.239612151925271,0.191085025489197,0.295954184920011,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.143817012943996,0.137664793792061,1.04468985121372,0.297402661383155,NA,NA,NA,NA,NA,NA,NA,0.143817012943996,0.137664793792061,0.95,-0.128674018302706,0.410262307808043,1.04468985121372,204,0.296166336888369
"PLOTALT700:two_DB",-0.125045201181882,0.125135586724077,-0.999277699137703,0.31884400634931,NA,NA,NA,NA,NA,NA,NA,-0.125045201181882,0.125135586724077,0.95,-0.384659928029811,0.127470383541571,-0.999277699137703,204,0.317660185429457
"PLOTALT700:two_EB",-0.0117289357040731,0.1302804050186,-0.0900283945417468,0.928352980396207,NA,NA,NA,NA,NA,NA,NA,-0.0117289357040731,0.1302804050186,0.95,-0.267508292358236,0.249246443620533,-0.0900283945417468,204,0.92826465086151
"PLOTALT800",0.0267723331329604,0.139512980691083,0.191898510090908,0.848012582429157,NA,NA,NA,NA,NA,NA,NA,0.0267723331329604,0.139512980691083,0.95,-0.251241066673654,0.301482768793358,0.191898510090908,204,0.847821704530076
"PLOTALT800:two_DB",-0.165319464117943,0.13599069268635,-1.21566749056302,0.225516545728185,NA,NA,NA,NA,NA,NA,NA,-0.165319464117943,0.13599069268635,0.95,-0.446652491005522,0.111623894344585,-1.21566749056302,204,0.224111613009277
