"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-0.853340025802413,0.0957509807422057,-8.91207608724026,1.20666592361947e-12,NA,NA,NA,NA,NA,NA,NA,-0.853340025802413,0.0957509807422057,0.95,-1.0348057906014,-0.659804552680702,-8.91207608724026,61,5.00857427433691e-19
"DBH05",-0.0347995566920947,0.0757020930087619,-0.459690813146566,0.647372371872694,1.2550188068916,1.08470181474512,1.76780635768092,1.12027621901547,0.796800808488901,0.56567281572165,0.921912350847296,-0.0347995566920947,0.0757020930087619,0.95,-0.18093426926816,0.115700907188126,-0.459690813146566,61,0.645738164599516
"PLOT",NA,NA,NA,NA,2.03937092439909,1.59884043119457,2.80397291534115,1.19501692382148,0.490347287016782,0.356636825744208,0.625453285074143,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_EB",NA,NA,NA,NA,3.70699872135737,2.74157993464526,5.20758297202306,1.92535677767976,0.269760006724209,0.192027665305065,0.36475318022394,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.232069505155716,0.157027952256919,1.47788659165611,0.144583149884341,NA,NA,NA,NA,NA,NA,NA,0.232069505155716,0.157027952256919,0.95,-0.0779160130903233,0.543409551647652,1.47788659165611,61,0.139438135798053
"PLOTALT700:two_EB",-0.137603109191995,0.14681164317647,-0.937276541660898,0.352312533783319,NA,NA,NA,NA,NA,NA,NA,-0.137603109191995,0.14681164317647,0.95,-0.44906646953484,0.173389063252542,-0.937276541660898,61,0.348616326412037
"PLOTALT800",0.251966350812678,0.303872368269053,0.829184806265715,0.410232837508112,NA,NA,NA,NA,NA,NA,NA,0.251966350812678,0.303872368269053,0.95,-0.295252856404185,0.91375294595091,0.829184806265715,61,0.406999841106692
"PLOTALT800:two_EB",0.117332236358549,0.356464428262682,0.329155525925536,0.743165626408003,NA,NA,NA,NA,NA,NA,NA,0.117332236358549,0.356464428262682,0.95,-0.522853442226126,0.927624693850713,0.329155525925536,61,0.742038136714121
"slope",-0.00141643416424576,0.0767900676086481,-0.0184455387051417,0.985343625323037,1.29135176298846,1.10599109262321,1.80087720293861,1.13637659382287,0.774382340010742,0.555284945785439,0.904166413879683,-0.00141643416424576,0.0767900676086481,0.95,-0.157444650971151,0.155695772230735,-0.0184455387051417,61,0.985283423979023
"TPI",0.128814397733034,0.0761515458240983,1.69155328810503,0.0958344474124097,1.26996545356604,1.09336397320426,1.78061530178959,1.1269274393527,0.787422994217692,0.561603620386143,0.914608515103491,0.128814397733034,0.0761515458240983,0.95,-0.0178469739260483,0.273534897715067,1.69155328810503,61,0.0907311793316845
"two_DB",-0.0368478479075603,0.0704152879625243,-0.523293292887918,0.602666021853489,1.08584635842542,1.00676631178692,2.089160163909,1.04203951864861,0.920940602913744,0.478661242577455,0.993279163488382,-0.0368478479075603,0.0704152879625243,0.95,-0.156576002479667,0.128350507924297,-0.523293292887918,61,0.600770167718476
