"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-2.81554883628288,0.182614435177504,-15.4179971235358,4.06872470686124e-41,NA,NA,NA,NA,NA,NA,NA,-2.81554883628288,0.182614435177504,0.95,-3.1867775257406,-2.41517054253586,-15.4179971235358,343,1.23887297983272e-53
"DBH05",0.240769418413924,0.0556220395049907,4.32866936481754,1.97107786018029e-05,1.06901795499909,1.01294526871115,1.36797058589843,1.03393324494335,0.935437983360021,0.731009869881987,0.987220169627106,0.240769418413924,0.0556220395049907,0.95,0.134636334776025,0.350355474955295,4.32866936481754,343,1.50012947100148e-05
"PLOT",NA,NA,NA,NA,1.5128514467975,1.34346049034864,1.76578416986275,1.10904475237362,0.661003433031621,0.566320628006157,0.744346415234356,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.565978433673727,0.209266695845585,2.70457958628713,0.00718022706564195,NA,NA,NA,NA,NA,NA,NA,0.565978433673727,0.209266695845585,0.95,0.103784914224983,1.00980621111615,2.70457958628713,343,0.00683908846798305
"PLOTALT800",-0.0042998095960497,0.200920958111178,-0.0214005031454729,0.982938615931665,NA,NA,NA,NA,NA,NA,NA,-0.0042998095960497,0.200920958111178,0.95,-0.432361616889456,0.403606165842273,-0.0214005031454729,343,0.982926172206404
"slope",-0.121560010096069,0.0616440492147873,-1.97196666417087,0.0494165270209068,1.31302652098176,1.18475540637074,1.53035310177241,1.14587369329336,0.761599239634773,0.653443965867634,0.844056076573053,-0.121560010096069,0.0616440492147873,0.95,-0.239317256659531,-0.00350311802519725,-1.97196666417087,343,0.0486134121513267
"TPI",-0.268689686876956,0.0645542442830478,-4.16223115708466,3.98957354193195e-05,1.43992802340708,1.2851143711345,1.67880361487483,1.19997000937818,0.694479157113599,0.59566228660674,0.778140858480324,-0.268689686876956,0.0645542442830478,0.95,-0.40229716723133,-0.135844060265722,-4.16223115708466,343,3.15153079048027e-05
"two_DB",-0.104851586135393,0.0605305503099642,-1.73220936532826,0.0841352574259622,1.26601958978928,1.14826741915491,1.4772890939561,1.12517535957258,0.789877193106027,0.676915577385098,0.87087727415968,-0.104851586135393,0.0605305503099642,0.95,-0.228154663813621,0.0207497333858528,-1.73220936532826,343,0.0832362921670618
"two_EB",-0.045805869518431,0.0555264758952463,-0.82493745154737,0.409980431876927,1.06534777475175,1.01128518222398,1.37840165805482,1.03215685569188,0.93866061740545,0.725477943353018,0.988840751924038,-0.045805869518431,0.0555264758952463,0.95,-0.150742002523583,0.0678770514582115,-0.82493745154737,343,0.409407102438074
"(Intercept)",-2.80229372896154,0.182192690445527,-15.3809339008547,5.70978407823012e-41,NA,NA,NA,NA,NA,NA,NA,-2.80229372896154,0.182192690445527,0.95,-3.17257115323541,-2.40361774216962,-15.3809339008547,343,2.19754933963312e-53
"DBH05",0.248928050705047,0.0545755697418401,4.56116265725775,7.09145147435889e-06,1.05718288030168,1.00791090710871,1.41333841425022,1.02819398962534,0.945910134029639,0.707544626196622,0.992151184144434,0.248928050705047,0.0545755697418401,0.95,0.144840631146287,0.356460929704505,4.56116265725775,343,5.08711535683811e-06
"PLOT",NA,NA,NA,NA,1.3717527280141,1.23094895050541,1.59840103400985,1.08222847867328,0.728994358515117,0.625625220906757,0.812381374214923,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.541374048529772,0.206777409938757,2.61814890074363,0.00923276272081822,NA,NA,NA,NA,NA,NA,NA,0.541374048529772,0.206777409938757,0.95,0.0878413245252325,0.975943796312104,2.61814890074363,343,0.00884082180679641
"PLOTALT800",-0.0171998226370094,0.200014022176307,-0.0859930841341125,0.931522089504415,NA,NA,NA,NA,NA,NA,NA,-0.0171998226370094,0.200014022176307,0.95,-0.445725011275347,0.392073238622025,-0.0859930841341125,343,0.931471914923409
"slope",-0.124739999969483,0.0605908620216898,-2.05872627996,0.0402752371421072,1.30307024404368,1.17698364028619,1.51898340816229,1.14152102216459,0.767418337246967,0.658335038175191,0.849629481474223,-0.124739999969483,0.0605908620216898,0.95,-0.241119961440028,-0.0081504620741982,-2.05872627996,343,0.0395204672278306
"TPI",-0.255206263835013,0.0641379657955113,-3.97902023660491,8.44663058501212e-05,1.46010446361621,1.30122284543157,1.70278905020054,1.20834782393821,0.684882503217148,0.587271805560548,0.7685078720458,-0.255206263835013,0.0641379657955113,0.95,-0.38869545435962,-0.122707008851245,-3.97902023660491,343,6.91998513117663e-05
"two_DB",-0.124691544747809,0.0565678731503567,-2.20428200325617,0.0281681538501524,1.13577751306119,1.05248191250698,1.35127403275614,1.06572863012175,0.880454128119477,0.740042342085371,0.950135093170418,-0.124691544747809,0.0565678731503567,0.95,-0.241089603221515,-0.0087543666252085,-2.20428200325617,343,0.027504517803515
"two_EB",-0.0549659076924149,0.0550807979580819,-0.997914150304168,0.319024458109903,1.07684702306385,1.0167434434604,1.35270313228835,1.0377123990123,0.928637010254987,0.739260504489493,0.98353228283094,-0.0549659076924149,0.0550807979580819,0.95,-0.163595828907128,0.0565328310780901,-0.997914150304168,343,0.318320989745144
"(Intercept)",-2.85418387405301,0.185587209265642,-15.3792057402385,5.80069356254191e-41,NA,NA,NA,NA,NA,NA,NA,-2.85418387405301,0.185587209265642,0.95,-3.2338596404926,-2.44659122692125,-15.3792057402385,343,2.2569931593377e-53
"DBH05",0.22863728350758,0.0566377624715867,4.03683467584512,6.68613882759283e-05,1.11690148501909,1.04004790019814,1.34124029305044,1.05683559980684,0.895334112643704,0.745578555297987,0.961494177152313,0.22863728350758,0.0566377624715867,0.95,0.121654160654276,0.338969005310695,4.03683467584512,343,5.41772186837157e-05
"PLOT",NA,NA,NA,NA,1.33847691008217,1.20470742781559,1.55966029118387,1.0756047734123,0.747117856473602,0.641165262495042,0.830077060131713,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.578981743171561,0.209482856225472,2.76386217757308,0.00602059448251897,NA,NA,NA,NA,NA,NA,NA,0.578981743171561,0.209482856225472,0.95,0.119207644908481,1.02065036988299,2.76386217757308,343,0.00571216607717796
"PLOTALT800",0.0584915006245973,0.203987137648073,0.286741121518697,0.774483677193792,NA,NA,NA,NA,NA,NA,NA,0.0584915006245973,0.203987137648073,0.95,-0.38111325628943,0.479390815749496,0.286741121518697,343,0.774310548664034
"slope",-0.115626118905709,0.0616012135258101,-1.87701040755086,0.0613653030026997,1.3212385241907,1.19118048334024,1.53977366110414,1.14945140140447,0.756865608813921,0.649446100593072,0.839503344779339,-0.115626118905709,0.0616012135258101,0.95,-0.233611692171071,0.00243772191872127,-1.87701040755086,343,0.0605166674455593
"TPI",-0.279836315500794,0.0664414572472931,-4.2117726957621,3.24187663830854e-05,1.53702521120726,1.36286825108068,1.79476800908681,1.23976820866131,0.650607415355631,0.557175074960694,0.733746640005045,-0.279836315500794,0.0664414572472931,0.95,-0.419957119691392,-0.140794101769715,-4.2117726957621,343,2.5337443769671e-05
"two_DB",-0.129690432167251,0.0575462285846564,-2.25367387849689,0.024847640391048,1.15301889871881,1.06434391328252,1.36390051786727,1.07378717570979,0.867288472991349,0.73319130457088,0.939545937662122,-0.129690432167251,0.0575462285846564,0.95,-0.254661458478615,-0.0089686841558617,-2.25367387849689,343,0.0242166918372989
"two_EB",0.0196714880905976,0.0580169439498909,0.339064534450276,0.734768602152385,1.17195892265885,1.07778870528244,1.38013064974703,1.08257051625234,0.853272227094167,0.724569083501838,0.927825644394693,0.0196714880905976,0.0580169439498909,0.95,-0.10088532098695,0.140406652300616,0.339064534450276,343,0.734561114955292
"(Intercept)",-2.92541089654783,0.183327243048456,-15.9573168062894,2.89467196957371e-43,NA,NA,NA,NA,NA,NA,NA,-2.92541089654783,0.183327243048456,0.95,-3.30095506062948,-2.52150168891888,-15.9573168062894,343,2.53393217817896e-57
"DBH05",0.198616161137116,0.0572920160632302,3.46673367049807,0.000593796039812814,1.19639418712552,1.09561255300391,1.40340599141953,1.09379805591595,0.835844916968896,0.7125521809897,0.912731418838018,0.198616161137116,0.0572920160632302,0.95,0.089959145515297,0.310192176372333,3.46673367049807,343,0.000526823601786545
"PLOT",NA,NA,NA,NA,1.37146912343246,1.23072466326017,1.59806917784112,1.08217253769584,0.729145106451423,0.625755138679874,0.812529422585076,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.657638225467802,0.207671499322559,3.16672353988425,0.0016799766437681,NA,NA,NA,NA,NA,NA,NA,0.657638225467802,0.207671499322559,0.95,0.202459403582841,1.0930807656829,3.16672353988425,343,0.00154166805702735
"PLOTALT800",0.126932531926448,0.20095420479602,0.631649046882556,0.528036968266867,NA,NA,NA,NA,NA,NA,NA,0.126932531926448,0.20095420479602,0.95,-0.309064486728385,0.543465089229179,0.631649046882556,343,0.527616229736342
"slope",-0.112500305138158,0.0605486353379203,-1.85801553594555,0.0640234546708646,1.3362717985962,1.20297427140291,1.55710865101053,1.1559722308932,0.748350747991939,0.642215942574733,0.831272973804997,-0.112500305138158,0.0605486353379203,0.95,-0.229012708334022,0.00393085933733579,-1.85801553594555,343,0.063166808114447
"TPI",-0.263087936644437,0.0666952925468239,-3.94462527411113,9.69408658356988e-05,1.62134877561228,1.43075404400738,1.89627551110875,1.27332194499752,0.616770441401398,0.527349530245897,0.698932149930616,-0.263087936644437,0.0666952925468239,0.95,-0.402151664994044,-0.124448708424938,-3.94462527411113,343,7.99248626257387e-05
"two_DB",-0.187615306141324,0.059067608019638,-3.17628074729127,0.00162713873835945,1.27170053093551,1.15264666212809,1.48360820656982,1.12769700315976,0.786348653377039,0.674032399909711,0.867568555791187,-0.187615306141324,0.059067608019638,0.95,-0.318212037012251,-0.0634116539746343,-3.17628074729127,343,0.00149176506059811
"two_EB",-0.0105035350212267,0.0592819358427031,-0.177179352730593,0.859472092047328,1.28094604844698,1.1597934115234,1.4939545465954,1.13178887096798,0.7806730043099,0.669364407557724,0.862222521756258,-0.0105035350212267,0.0592819358427031,0.95,-0.136562734518923,0.113876465441751,-0.177179352730593,343,0.859367513208069
"(Intercept)",-2.94610432055777,0.180653587063608,-16.3080311243443,1.14609093825294e-44,NA,NA,NA,NA,NA,NA,NA,-2.94610432055777,0.180653587063608,0.95,-3.31499344145898,-2.5482274607131,-16.3080311243443,343,8.65373989568895e-60
"DBH05",0.178776997735972,0.0586391995545134,3.0487625870434,0.00247645005638764,1.26703059329609,1.14904606260368,1.4784114153063,1.12562453477884,0.789246925284237,0.676401703644054,0.870287129946773,0.178776997735972,0.0586391995545134,0.95,0.0670346021634947,0.292715460179886,3.0487625870434,343,0.00229785997209244
"PLOT",NA,NA,NA,NA,1.34803495618507,1.21222864741934,1.57074448807757,1.07751987253161,0.741820525804457,0.636640782501739,0.824926883330844,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.681602500064543,0.20450534314716,3.33293247782808,0.0009531312299814,NA,NA,NA,NA,NA,NA,NA,0.681602500064543,0.20450534314716,0.95,0.232260832184938,1.11062087046516,3.33293247782808,343,0.000859357954852224
"PLOTALT800",0.13960170549526,0.198160138040171,0.704489343194544,0.481606128166453,NA,NA,NA,NA,NA,NA,NA,0.13960170549526,0.198160138040171,0.95,-0.289133494617845,0.548029079975185,0.704489343194544,343,0.481128084349295
"slope",-0.114752863367723,0.0601337537413613,-1.90829369909753,0.0571878759823825,1.33244000685886,1.19996448932161,1.55267992099624,1.15431365185501,0.750502833037439,0.644047743824994,0.833357994256434,-0.114752863367723,0.0601337537413613,0.95,-0.229887318040653,0.000251987681281701,-1.90829369909753,343,0.0563532669327541
"TPI",-0.262609410023601,0.0670540143944598,-3.91638610149042,0.000108469415063743,1.65676381709241,1.45933410371908,1.93905222353267,1.28715337745445,0.603586334807205,0.515715867713014,0.685244042095311,-0.262609410023601,0.0670540143944598,0.95,-0.401888936579501,-0.123604353513616,-3.91638610149042,343,8.98862523069586e-05
"two_DB",-0.22929252519456,0.0599560030755444,-3.82434641124512,0.00015573207321809,1.32457447243532,1.19379414392143,1.54361079248801,1.15090159111686,0.754959438529291,0.647831697515012,0.837665358882689,-0.22929252519456,0.0599560030755444,0.95,-0.36796440479598,-0.0995353815276326,-3.82434641124512,343,0.000131119452820059
"two_EB",-0.00661798573048046,0.0598586438845582,-0.110560234930209,0.912029743687862,1.32027616076082,1.19042686745656,1.5386677863358,1.14903270656706,0.757417296260008,0.649912871953606,0.840034803764617,-0.00661798573048046,0.0598586438845582,0.95,-0.133599290521775,0.117477129227649,-0.110560234930209,343,0.911965082030184
"(Intercept)",-3.04405071749287,0.182036038923191,-16.7222421202941,2.50237439238773e-46,NA,NA,NA,NA,NA,NA,NA,-3.04405071749287,0.182036038923191,0.95,-3.4115813555828,-2.64890866436226,-16.7222421202941,343,9.02586509238362e-63
"DBH05",0.137897942441198,0.0588102644200256,2.34479378389331,0.0196073089822455,1.34873931292062,1.21278345650311,1.57156280086358,1.16135236380722,0.741433122338929,0.636309283631871,0.824549506045673,0.137897942441198,0.0588102644200256,0.95,0.0245160437409841,0.252888976462598,2.34479378389331,343,0.0190376057489009
"PLOT",NA,NA,NA,NA,1.47698734700792,1.31472364607524,1.72291018499212,1.10241266436668,0.677053870519475,0.58041330808232,0.76061612110289,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.800170811977916,0.207532298374843,3.8556447273217,0.000137818324133326,NA,NA,NA,NA,NA,NA,NA,0.800170811977916,0.207532298374843,0.95,0.352999594305671,1.2276021226926,3.8556447273217,343,0.000115425017915206
"PLOTALT800",0.219549141218219,0.198754180728971,1.10462653119033,0.270095726014238,NA,NA,NA,NA,NA,NA,NA,0.219549141218219,0.198754180728971,0.95,-0.206584229016133,0.62649639018771,1.10462653119033,343,0.269321449970708
"slope",-0.110375373681101,0.059358327337365,-1.85947580789767,0.0638157699377643,1.37399471170487,1.23272236295322,1.60102537035226,1.17217520520819,0.72780483904424,0.624599721227391,0.811212670470514,-0.110375373681101,0.059358327337365,0.95,-0.224593226834595,0.00353668666573462,-1.85947580789767,343,0.0629597252354082
"TPI",-0.246973917603086,0.0661671509290134,-3.73257597063607,0.000221797281025937,1.70728734864109,1.50016100314713,2.00018872003219,1.3066320632225,0.58572448322536,0.499952824443438,0.666595117392157,-0.246973917603086,0.0661671509290134,0.95,-0.383648654351488,-0.110656328637326,-3.73257597063607,343,0.000189531506198828
