"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-1.99475348215767,0.145300058456405,-13.7285112156797,4.1346190707673e-37,NA,NA,NA,NA,NA,NA,NA,-1.99475348215767,0.145300058456405,0.95,-2.29223052830195,-1.67724615298168,-13.7285112156797,552,6.85271923602079e-43
"DBH05",0.0553785913420065,0.0462340047600515,1.19778919497487,0.231513154861417,1.02613651909948,1.00099118009534,1.68919627608732,1.01298396783931,0.974529198977917,0.591997516307755,0.999009801369837,0.0553785913420065,0.0462340047600515,0.95,-0.0305565368717673,0.142056086130828,1.19778919497487,552,0.230999094701008
"PLOT",NA,NA,NA,NA,1.16251510688945,1.08377308792728,1.31527022126984,1.03836406826886,0.860203875264643,0.760300038599322,0.922702372977821,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",-0.636457021563371,0.161951475965847,-3.92992418110219,9.57639745507114e-05,NA,NA,NA,NA,NA,NA,NA,-0.636457021563371,0.161951475965847,0.95,-0.981423139864397,-0.305759257509301,-3.92992418110219,552,8.49726510900213e-05
"PLOTALT800",-0.746758264252341,0.16330779500785,-4.5727043477407,5.94818845708627e-06,NA,NA,NA,NA,NA,NA,NA,-0.746758264252341,0.16330779500785,0.95,-1.1043868820393,-0.401676709065713,-4.5727043477407,552,4.81469280838755e-06
"slope",-0.0659661416523082,0.0500268963101414,-1.31861351628435,0.1878451696592,1.20140445213856,1.11434524308286,1.35474806163854,1.09608596931927,0.832359159498659,0.738144625053399,0.897387956028308,-0.0659661416523082,0.0500268963101414,0.95,-0.16613155119857,0.037087653399371,-1.31861351628435,552,0.187298352677025
"TPI",-0.140554162429513,0.0474332390540202,-2.96319975680852,0.00317587010921953,1.08005950067366,1.02465634985616,1.25995427893853,1.03925911142201,0.925874916498839,0.793679593550385,0.975936956951835,-0.140554162429513,0.0474332390540202,0.95,-0.237225438030385,-0.0452396061693643,-2.96319975680852,552,0.00304458918829564
"two_DB",-0.00573263030060242,0.0459739852202426,-0.124692916507884,0.900812060381652,1.01462701379075,1.00004801723304,5.45568223939406,1.00728695702404,0.985583851413439,0.183295132692894,0.999951985072505,-0.00573263030060242,0.0459739852202426,0.95,-0.0968191435683235,0.0912723849676334,-0.124692916507884,552,0.900766665440399
"two_EB",-0.0619102278468792,0.0463165243814005,-1.33667689175185,0.181878781363825,1.02980273679946,1.00165689246558,1.53606564046111,1.01479196725214,0.971059761511138,0.651013845801413,0.998345848285929,-0.0619102278468792,0.0463165243814005,0.95,-0.153958925132918,0.0336687871760093,-1.33667689175185,552,0.18132812803632
"(Intercept)",-1.98946284176186,0.143967536222514,-13.8188295358961,1.63029425491922e-37,NA,NA,NA,NA,NA,NA,NA,-1.98946284176186,0.143967536222514,0.95,-2.28296345355444,-1.67621129014396,-13.8188295358961,552,1.96234621541626e-43
"DBH05",0.0524312445223768,0.0462783413730453,1.13295427119424,0.257725308620504,1.04373168786789,1.00579517277262,1.33000923334169,1.02163187492751,0.958100641787331,0.751874479463177,0.994238217750992,0.0524312445223768,0.0462783413730453,0.95,-0.0335096506451633,0.139133863684708,1.13295427119424,552,0.25723345731164
"PLOT",NA,NA,NA,NA,1.15910626674032,1.08114181101397,1.31198224195023,1.03760203171997,0.862733667045247,0.762205438477217,0.924948040869985,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",-0.648758454601142,0.160288726898536,-4.04743656746247,5.91776904847977e-05,NA,NA,NA,NA,NA,NA,NA,-0.648758454601142,0.160288726898536,0.95,-0.989750843106039,-0.321905768997061,-4.04743656746247,552,5.17816084106725e-05
"PLOTALT800",-0.751600588322484,0.161987681366107,-4.63986262402138,4.359140046744e-06,NA,NA,NA,NA,NA,NA,NA,-0.751600588322484,0.161987681366107,0.95,-1.10381104144692,-0.411674432247087,-4.63986262402138,552,3.48640862069064e-06
"slope",-0.065841848537867,0.0496032362525902,-1.32737001679863,0.184935025740245,1.19909425497873,1.11250560832655,1.35232485700165,1.09503162282134,0.83396279804354,0.739467292065591,0.898871873108319,-0.065841848537867,0.0496032362525902,0.95,-0.164914541959181,0.0361904452183628,-1.32737001679863,552,0.184386312935485
"TPI",-0.126180806637942,0.0483712391943872,-2.60859156679583,0.00933789525787313,1.14027007035826,1.06679309111109,1.2945767640187,1.06783428974643,0.876985221304467,0.772453227799133,0.937388897933782,-0.126180806637942,0.0483712391943872,0.95,-0.223585023126804,-0.0302843313663877,-2.60859156679583,552,0.00909156842416356
"two_DB",0.00270618271048399,0.0462527633746788,0.0585085627979041,0.953364716030965,1.04257826754076,1.00536529144721,1.33789569208125,1.02106721989336,0.95916060322148,0.747442424636547,0.994663341282166,0.00270618271048399,0.0462527633746788,0.95,-0.0936586568056473,0.100632931545671,0.0585085627979041,552,0.953343542054391
"two_EB",-0.0944255744572239,0.0471223544958228,-2.003838209434,0.0455755504589193,1.08214949830119,1.02596197101344,1.25993943478504,1.04026414833022,0.924086738079946,0.793688944398042,0.974694996747501,-0.0944255744572239,0.0471223544958228,0.95,-0.189872488911795,0.000475884774534933,-2.003838209434,552,0.0450873943452292
"(Intercept)",-2.01138195139286,0.140083717550378,-14.3584278499,5.91502766182433e-40,NA,NA,NA,NA,NA,NA,NA,-2.01138195139286,0.140083717550378,0.95,-2.29849428557731,-1.70587458851133,-14.3584278499,552,9.4343071499062e-47
"DBH05",0.0388134267472804,0.0450582728908471,0.861405115134023,0.38938898260778,1.06259919802519,1.01452482394351,1.26979050545719,1.03082452339144,0.9410886078763,0.78753148310866,0.985683126128887,0.0388134267472804,0.0450582728908471,0.95,-0.0448048652156519,0.123106723236389,0.861405115134023,552,0.389014959812411
"PLOT",NA,NA,NA,NA,1.17621379841317,1.09443547898203,1.32880971310695,1.0414095776274,0.850185571151347,0.752553198653141,0.913713068704729,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",-0.630393323199454,0.155911251399558,-4.04328306995578,6.02054102084071e-05,NA,NA,NA,NA,NA,NA,NA,-0.630393323199454,0.155911251399558,0.95,-0.962557506194541,-0.311438148392628,-4.04328306995578,552,5.27079221331245e-05
"PLOTALT800",-0.726974460798177,0.157640278824459,-4.61160349511754,4.97053811480183e-06,NA,NA,NA,NA,NA,NA,NA,-0.726974460798177,0.157640278824459,0.95,-1.0713248984985,-0.394029898563727,-4.61160349511754,552,3.9957462797833e-06
"slope",-0.0599064876424426,0.0484975093171656,-1.23524874753184,0.217263424216476,1.23100345596247,1.13810948096243,1.3863789530939,1.10950595129656,0.812345404195586,0.721303506352545,0.878650091864938,-0.0599064876424426,0.0484975093171656,0.95,-0.156121852689801,0.0390966569860381,-1.23524874753184,552,0.216737941926451
