"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-3.18888460909657,0.188086505042693,-16.9543509162061,3.98834443196799e-47,NA,NA,NA,NA,NA,NA,NA,-3.18888460909657,0.188086505042693,0.95,-3.55754199821905,-2.77905402368302,-16.9543509162061,339,1.78724172520535e-64
"DBH05",0.252638090527329,0.0564294040430801,4.47706465824904,1.03520235283072e-05,1.10065293702864,1.03039955684881,1.33326188874656,1.04912007750717,0.908551611827461,0.750040189733562,0.970497311798372,0.252638090527329,0.0564294040430801,0.95,0.145138301788424,0.363518115453645,4.47706465824904,339,7.56763353578053e-06
"PLOT",NA,NA,NA,NA,1.65301642457266,1.45822529926948,1.93061306619581,1.13388573648593,0.604954666592935,0.517970181342685,0.685765087535489,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_DB",NA,NA,NA,NA,13.5508744149602,11.1876025476335,16.4623669154323,3.68115123500247,0.0737959757708328,0.0607446064795562,0.0893846555365453,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_EB",NA,NA,NA,NA,21.1868316042975,17.4353578962012,25.7946027579027,4.60291555476499,0.0471991290947515,0.0387677999690703,0.0573547159716108,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.880991937825831,0.21388157857916,4.1190641273473,4.78495724726759e-05,NA,NA,NA,NA,NA,NA,NA,0.880991937825831,0.21388157857916,0.95,0.420886875313442,1.3122071176814,4.1190641273473,339,3.80414277581248e-05
"PLOTALT700:two_DB",0.718225423847154,0.206293998579225,3.48156237599576,0.000563724646531801,NA,NA,NA,NA,NA,NA,NA,0.718225423847154,0.206293998579225,0.95,0.289770528276545,1.09538781817677,3.48156237599576,339,0.000498497662593845
"PLOTALT700:two_EB",0.601451958100113,0.259846502683042,2.31464326781322,0.0212294861058828,NA,NA,NA,NA,NA,NA,NA,0.601451958100113,0.259846502683042,0.95,-0.0111376688546557,1.02617408024089,2.31464326781322,339,0.0206324629024299
"PLOTALT800",0.374473897478407,0.209257388717524,1.78953727642997,0.0744208464466581,NA,NA,NA,NA,NA,NA,NA,0.374473897478407,0.209257388717524,0.95,-0.0727567244801339,0.792201450404963,1.78953727642997,339,0.0735283297520244
"PLOTALT800:two_DB",0.6431465993293,0.219097076169541,2.9354412691095,0.00355808952691985,NA,NA,NA,NA,NA,NA,NA,0.6431465993293,0.219097076169541,0.95,0.195177499625793,1.05071975423327,2.9354412691095,339,0.00333073656486831
"PLOTALT800:two_EB",0.572594465362919,0.25711254293808,2.22701879425936,0.0266023570676575,NA,NA,NA,NA,NA,NA,NA,0.572594465362919,0.25711254293808,0.95,-0.037513844184069,0.992354812844269,2.22701879425936,339,0.025946017737343
"slope",-0.107417476519533,0.061404088786181,-1.74935380758728,0.0811348052084124,1.30326895901698,1.17825604130219,1.51595480765405,1.14160805840577,0.767301325702004,0.65965027120268,0.848711964926415,-0.107417476519533,0.061404088786181,0.95,-0.224025228766137,0.0120346600876113,-1.74935380758728,339,0.080229880287395
