"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-2.15334177017538,0.150634215224857,-14.2951703698991,1.25832856822544e-39,NA,NA,NA,NA,NA,NA,NA,-2.15334177017538,0.150634215224857,0.95,-2.44421556817349,-1.83051242119442,-14.2951703698991,548,2.34531138288945e-46
"DBH05",0.0635195389550172,0.046223804449741,1.37417375551772,0.169949497402291,1.05370138787737,1.01017149871863,1.28352154778066,1.02649958006682,0.949035477702515,0.779106514985358,0.989930918926604,0.0635195389550172,0.046223804449741,0.95,-0.0230470579248061,0.150715394647406,1.37417375551772,548,0.169387746294338
"PLOT",NA,NA,NA,NA,1.26453740388798,1.16593686184311,1.42172689828229,1.06043223265801,0.790803021662607,0.703369965925371,0.857679375896227,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_DB",NA,NA,NA,NA,23.8232419502616,20.3535095983516,27.9150342201783,4.88090585345196,0.0419758151341371,0.0358229902966464,0.0491315758183045,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_EB",NA,NA,NA,NA,7.84699751578057,6.75837783198186,9.14142043975085,2.80124927769389,0.127437277505054,0.10939218982332,0.147964500485282,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",-0.469874198546444,0.165865699057347,-2.83285936282697,0.00478318837811253,NA,NA,NA,NA,NA,NA,NA,-0.469874198546444,0.165865699057347,0.95,-0.816971030529775,-0.147994015408621,-2.83285936282697,548,0.00461336780940092
"PLOTALT700:two_DB",0.106703841818641,0.228646773225281,0.466675476384301,0.640917548268717,NA,NA,NA,NA,NA,NA,NA,0.106703841818641,0.228646773225281,0.95,-0.443893679217627,0.534054816044428,0.466675476384301,548,0.640732077873529
"PLOTALT700:two_EB",-0.348086837429658,0.141583090172642,-2.45853397468026,0.014258760650897,NA,NA,NA,NA,NA,NA,NA,-0.348086837429658,0.141583090172642,0.95,-0.650153776643535,-0.0588783061762027,-2.45853397468026,548,0.0139505576022642
"PLOTALT800",-0.583284203535358,0.167131226041769,-3.48997741086147,0.000521942508846849,NA,NA,NA,NA,NA,NA,NA,-0.583284203535358,0.167131226041769,0.95,-0.939259391000351,-0.250932382586004,-3.48997741086147,548,0.000483061377357541
"PLOTALT800:two_DB",0.201114432075142,0.229905542827957,0.874769827648912,0.382082376756753,NA,NA,NA,NA,NA,NA,NA,0.201114432075142,0.229905542827957,0.95,-0.353437321333518,0.635460997848898,0.874769827648912,548,0.381699157393592
"PLOTALT800:two_EB",-0.256873963711228,0.145957326392949,-1.75992511002611,0.0789783899345034,NA,NA,NA,NA,NA,NA,NA,-0.256873963711228,0.145957326392949,0.95,-0.569881866962381,0.0455192016638761,-1.75992511002611,548,0.0784205052107852
"slope",-0.0717016621495959,0.0484667051555425,-1.47940038258194,0.139607941856805,1.15843900259159,1.08102424237705,1.30981983670267,1.07630804261214,0.863230604082618,0.763463777214883,0.925048635173166,-0.0717016621495959,0.0484667051555425,0.95,-0.171178560333631,0.0278119692185028,-1.47940038258194,548,0.139033337946636
"TPI",-0.151470976309737,0.0474460465243549,-3.19248888802535,0.00149143193054106,1.11016169507303,1.04506715201236,1.26927814426868,1.0536421095766,0.900769684666717,0.787849380780265,0.956876309885369,-0.151470976309737,0.0474460465243549,0.95,-0.25389879674971,-0.0524352792433587,-3.19248888802535,548,0.00141052371744845
"two_DB",-0.150099867425908,0.219535745114455,-0.683714933746456,0.494444183562076,23.7682202467255,20.3066876972439,27.8503775133527,4.87526617188493,0.0420729860973821,0.0359061560124474,0.0492448603587736,-0.150099867425908,0.219535745114455,0.95,-0.556460371324217,0.388805929815852,-0.683714933746456,548,0.49415519151923
"two_EB",0.20227510968973,0.126318199746839,1.60131406317633,0.109883642594197,7.86897259549685,6.77707683106922,9.16724199753355,2.8051689067678,0.127081393137939,0.109084062607821,0.14755624363229,0.20227510968973,0.126318199746839,0.95,-0.0562549619448621,0.478105729382002,1.60131406317633,548,0.109307375753756
"(Intercept)",-2.18654519838664,0.140105044567297,-15.6064701677202,1.06547717607749e-45,NA,NA,NA,NA,NA,NA,NA,-2.18654519838664,0.140105044567297,0.95,-2.45804118295262,-1.89276742463376,-15.6064701677202,548,6.57768731935656e-55
"DBH05",0.0570029867385411,0.0449422301136808,1.26836132951909,0.205207498034013,1.06155890488256,1.01412469975688,1.26828880157223,1.03031980709029,0.94201084405262,0.788463951396836,0.98607202865657,0.0570029867385411,0.0449422301136808,0.95,-0.0271002293787606,0.141789649160991,1.26836132951909,548,0.204668944696495
"PLOT",NA,NA,NA,NA,1.17837987455424,1.09656560944284,1.32951047303046,1.04188870317101,0.848622775722713,0.752156542039584,0.911938137936035,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_DB",NA,NA,NA,NA,9.35548647008791,8.04199443141153,10.9139746320174,3.05867397250637,0.106889150360837,0.0916256481911164,0.124347263421877,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_EB",NA,NA,NA,NA,11.2059252511479,9.61661516445824,13.0883790495438,3.34752524279473,0.0892385035227291,0.0764036551978418,0.103986692084328,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",-0.445253176659667,0.155463685517858,-2.86403332827537,0.00434311577630562,NA,NA,NA,NA,NA,NA,NA,-0.445253176659667,0.155463685517858,0.95,-0.765398424931101,-0.141809777172973,-2.86403332827537,548,0.0041828399839684
"PLOTALT700:two_DB",0.295092949641961,0.148082193263306,1.99276457985231,0.0467827432474644,NA,NA,NA,NA,NA,NA,NA,0.295092949641961,0.148082193263306,0.95,-0.00904689029663565,0.586111225775975,1.99276457985231,548,0.0462872320207125
"PLOTALT700:two_EB",-0.418736468686038,0.157940685373101,-2.65122610869305,0.00825205607427689,NA,NA,NA,NA,NA,NA,NA,-0.418736468686038,0.157940685373101,0.95,-0.742845528472037,-0.0851149546303522,-2.65122610869305,548,0.00802001308726254
"PLOTALT800",-0.549705722905379,0.156884291552674,-3.50389269355763,0.000495984194432476,NA,NA,NA,NA,NA,NA,NA,-0.549705722905379,0.156884291552674,0.95,-0.876719737079916,-0.238451355716438,-3.50389269355763,548,0.000458510076320823
"PLOTALT800:two_DB",0.396739075262642,0.148153588577825,2.67789041811994,0.00763098917922155,NA,NA,NA,NA,NA,NA,NA,0.396739075262642,0.148153588577825,0.95,0.0893510139472406,0.691285808130918,2.67789041811994,548,0.00740874526717619
"PLOTALT800:two_EB",-0.236511795610314,0.160176589620712,-1.47656905525558,0.140365587905028,NA,NA,NA,NA,NA,NA,NA,-0.236511795610314,0.160176589620712,0.95,-0.565733945886925,0.102556577107794,-1.47656905525558,548,0.13979119177532
"slope",-0.0754581695827453,0.0470583572266633,-1.6035019926278,0.109400037303964,1.16388047863318,1.08523611466255,1.31508723014146,1.07883292433684,0.859194752690036,0.760405832465143,0.921458460964461,-0.0754581695827453,0.0470583572266633,0.95,-0.172460114046809,0.0215802869376838,-1.6035019926278,548,0.108823869554836
"TPI",-0.138829866074828,0.0485694328848671,-2.85837939273291,0.00442009048948637,1.23982652828312,1.14578223267969,1.39453891335788,1.11347497874138,0.806564448483594,0.717082894153251,0.872766195423763,-0.138829866074828,0.0485694328848671,0.95,-0.241645650649603,-0.0394598715989341,-2.85837939273291,548,0.00425810944123909
