"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-2.07184261870909,0.103258203689553,-20.064678104784,1.57249363997612e-59,NA,NA,NA,NA,NA,NA,NA,-2.07184261870909,0.103258203689553,0.95,-2.26896664691724,-1.86163699111581,-20.064678104784,338,1.50260244595013e-89
"DBH05",0.39230189899895,0.048560769483561,8.07857666118232,1.17125585784086e-14,1.07581770783272,1.01605749829848,1.35798383497593,1.03721632643953,0.929525506709253,0.736385790643618,0.984196270068015,0.39230189899895,0.048560769483561,0.95,0.294465819875877,0.489138072499571,8.07857666118232,338,6.55270755091296e-16
"PLOT",NA,NA,NA,NA,1.08189265988437,1.01916785354839,1.34987786848467,1.01987288048608,0.924306113794021,0.740807759980957,0.981192643114031,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.146437702902514,0.126204524687117,1.16032054528598,0.246737227454533,NA,NA,NA,NA,NA,NA,NA,0.146437702902514,0.126204524687117,0.95,-0.105868976045789,0.392040302709878,1.16032054528598,338,0.245918322667663
"PLOTALT800",-0.0752712340181163,0.131589367700466,-0.572016077996927,0.567691310331455,NA,NA,NA,NA,NA,NA,NA,-0.0752712340181163,0.131589367700466,0.95,-0.337682648094877,0.182555063900073,-0.572016077996927,338,0.56731108227011
"slope",-0.0401406911926782,0.0498286326521171,-0.805574808221689,0.421054408508089,1.13272766727069,1.05010075575775,1.35162411010923,1.06429679472913,0.882824732629249,0.739850667445688,0.952289572707146,-0.0401406911926782,0.0498286326521171,0.95,-0.135568165552151,0.0584970391189931,-0.805574808221689,338,0.42048805598558
"TPI",-0.195194596182993,0.052176264243473,-3.74106117049979,0.000215216579682984,1.24197693507446,1.12930507701151,1.45282705413661,1.11444018909696,0.805167931673421,0.688313173376499,0.885500313738344,-0.195194596182993,0.052176264243473,0.95,-0.291581725592536,-0.0980181077825508,-3.74106117049979,338,0.000183244910151599
"two_DB",0.0089182838189199,0.0477457471938791,0.186786977753345,0.851939720536136,1.04000866355989,1.00253610588058,1.63116180286823,1.01980815036942,0.961530451657061,0.613059966363608,0.997470309681916,0.0089182838189199,0.0477457471938791,0.95,-0.0859096998493111,0.10921405483585,0.186786977753345,338,0.851827657470967
"two_EB",0.0486523498135145,0.04959978416415,0.980898417874159,0.327344412816259,1.12234697921928,1.04326202956761,1.34600279907555,1.05940878758828,0.89099005790136,0.742940505537439,0.958531961921839,0.0486523498135145,0.04959978416415,0.95,-0.0506173201418756,0.152223176988263,0.980898417874159,338,0.326642837771211
"(Intercept)",-2.09413910901716,0.10420921846456,-20.0955264790644,1.18471112242491e-59,NA,NA,NA,NA,NA,NA,NA,-2.09413910901716,0.10420921846456,0.95,-2.29219640541899,-1.88349932339182,-20.0955264790644,338,8.07535161609013e-90
"DBH05",0.37397068697701,0.0486815128863859,7.68198572320035,1.71000625152774e-13,1.10687729713255,1.03348858851758,1.34109400091207,1.05208236233317,0.903442506762565,0.745659886122755,0.96759655704993,0.37397068697701,0.0486815128863859,0.95,0.276336061156951,0.470704488337582,7.68198572320035,338,1.56641297952356e-14
"PLOT",NA,NA,NA,NA,1.13874348118052,1.05414931750266,1.35549392786241,1.03301463887224,0.878160899734248,0.737738457874896,0.948632213099614,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.173657253988462,0.127377594558668,1.36332652999251,0.17368702734893,NA,NA,NA,NA,NA,NA,NA,0.173657253988462,0.127377594558668,0.95,-0.0798165446663445,0.420883622681476,1.36332652999251,338,0.172779624423206
