"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-2.09669977174005,0.103396517432515,-20.2782436372533,3.65766226043928e-60,NA,NA,NA,NA,NA,NA,NA,-2.09669977174005,0.103396517432515,0.95,-2.29300681307761,-1.88683127303234,-20.2782436372533,334,2.00151377328531e-91
"DBH05",0.396692301175704,0.0485709048794812,8.16728249473661,6.55907548247126e-15,1.09478899052622,1.02669476106001,1.33658112559175,1.04632164773851,0.913418027266916,0.74817755604417,0.973999320857109,0.396692301175704,0.0485709048794812,0.95,0.298932034219269,0.493458239137686,8.16728249473661,334,3.15413714509102e-16
"PLOT",NA,NA,NA,NA,1.1022324396399,1.03111289093128,1.33592094472388,1.02463290137184,0.9072496544619,0.748547287883633,0.969825912172255,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_DB",NA,NA,NA,NA,5.92763588547228,4.94489420964496,7.15519558431443,2.43467367124883,0.168701320276916,0.139758583565793,0.202228795521957,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_EB",NA,NA,NA,NA,3.94388094006537,3.3244499752076,4.72838094246624,1.98592067819069,0.253557350030812,0.211488882170821,0.300801638604158,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.154872845088907,0.125827863277507,1.23083108188321,0.219252101964429,NA,NA,NA,NA,NA,NA,NA,0.154872845088907,0.125827863277507,0.95,-0.0938313799185918,0.396277108909194,1.23083108188321,334,0.21838604797236
"PLOTALT700:two_DB",0.189058535437402,0.129727921311011,1.45734652591983,0.145960282338658,NA,NA,NA,NA,NA,NA,NA,0.189058535437402,0.129727921311011,0.95,-0.0838223574934247,0.440499383078743,1.45734652591983,334,0.145020749957489
"PLOTALT700:two_EB",-0.12356644133221,0.118773352502856,-1.04035491739815,0.298927537947043,NA,NA,NA,NA,NA,NA,NA,-0.12356644133221,0.118773352502856,0.95,-0.375891447982922,0.123989724473042,-1.04035491739815,334,0.298175038596709
"PLOTALT800",-0.0582756736937968,0.131462726934399,-0.443286664233557,0.657845392514993,NA,NA,NA,NA,NA,NA,NA,-0.0582756736937968,0.131462726934399,0.95,-0.320798196530474,0.199107080692402,-0.443286664233557,334,0.657558400450688
"PLOTALT800:two_DB",0.0578629795866323,0.143150253358791,0.404211506644035,0.686315895691672,NA,NA,NA,NA,NA,NA,NA,0.0578629795866323,0.143150253358791,0.95,-0.237745741879484,0.341845821956977,0.404211506644035,334,0.68605719295738
"PLOTALT800:two_EB",0.0332477650022113,0.125098875446393,0.265771893500822,0.790578864243557,NA,NA,NA,NA,NA,NA,NA,0.0332477650022113,0.125098875446393,0.95,-0.233746109889998,0.298066391943817,0.265771893500822,334,0.790414890681098
"slope",-0.0447871410742918,0.0506777892851927,-0.883762723394447,0.377460002929858,1.19182737160811,1.09259873141997,1.39738925073591,1.0917084645674,0.839047687460576,0.715620217826471,0.915249094880769,-0.0447871410742918,0.0506777892851927,0.95,-0.142153505166324,0.0556111815689108,-0.883762723394447,334,0.376824312948763
"TPI",-0.2053799367796,0.0532286349736862,-3.85844831228774,0.000136948890947015,1.31482723218618,1.18667195499937,1.53096452611934,1.14665916129693,0.760556197438419,0.653182998651694,0.84269287378628,-0.2053799367796,0.0532286349736862,0.95,-0.308173888662046,-0.101624738889615,-3.85844831228774,334,0.000114109193387608
"two_DB",-0.116847178848491,0.112491512683124,-1.03871995372341,0.299686365141143,5.87242590824147,4.89978943076693,7.08764515437796,2.42330887594658,0.170287376226677,0.141090584844292,0.204090403093808,-0.116847178848491,0.112491512683124,0.95,-0.326906728246426,0.125383765731733,-1.03871995372341,334,0.298934998354933
"two_EB",0.0866727750040087,0.0942434609209567,0.919668846591938,0.358409550094676,4.12173897788199,3.46970586967679,4.94591694730962,2.03020663428184,0.242616042734919,0.202186977794676,0.288208867713951,0.0866727750040087,0.0942434609209567,0.95,-0.115216251298024,0.301277867928376,0.919668846591938,334,0.357745837287598
"(Intercept)",-2.1500400522938,0.110489210689476,-19.4592760585138,6.45472793672005e-57,NA,NA,NA,NA,NA,NA,NA,-2.1500400522938,0.110489210689476,0.95,-2.35514447381156,-1.92896069696017,-19.4592760585138,334,2.43195769399868e-84
"DBH05",0.370982760507724,0.0482328298543706,7.69149895678593,1.64716717784386e-13,1.11429984857786,1.03860858207226,1.33838215970922,1.05560402072835,0.897424513945919,0.747170748463398,0.962826629070185,0.370982760507724,0.0482328298543706,0.95,0.274178510123939,0.466998868194047,7.69149895678593,334,1.4542111933185e-14
"PLOT",NA,NA,NA,NA,1.27632886774343,1.15668490581376,1.48733247629563,1.06289569495195,0.783497126228926,0.672344627672364,0.864539681441135,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_DB",NA,NA,NA,NA,5.30305413304599,4.4346450027381,6.39103018133257,2.30283610642312,0.188570581199332,0.156469297065891,0.225497192984459,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_EB",NA,NA,NA,NA,4.42487689468388,3.71729599123078,5.31671109131787,2.10353913552467,0.225994987838287,0.188086202696435,0.269012745382405,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.209583147042029,0.131431428560556,1.59461971415357,0.111743091554736,NA,NA,NA,NA,NA,NA,NA,0.209583147042029,0.131431428560556,0.95,-0.047085761322343,0.456700662271984,1.59461971415357,334,0.110797301375728
"PLOTALT700:two_DB",0.318305880769245,0.125409890601327,2.53812422005157,0.0115986734445892,NA,NA,NA,NA,NA,NA,NA,0.318305880769245,0.125409890601327,0.95,0.0688357211833395,0.561233028606582,2.53812422005157,334,0.0111448418499961
"PLOTALT700:two_EB",0.0778718399812838,0.117528874362428,0.66257624267844,0.508058936957168,NA,NA,NA,NA,NA,NA,NA,0.0778718399812838,0.117528874362428,0.95,-0.162928109128471,0.319026119634366,0.66257624267844,334,0.507601989846155
