"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-0.847527816957254,0.0962136348696506,-8.80881195378886,1.80896503223296e-12,NA,NA,NA,NA,NA,NA,NA,-0.847527816957254,0.0962136348696506,0.95,-1.02880636407414,-0.654284041762199,-8.80881195378886,61,1.26479153996158e-18
"DBH05",-0.0349740369465829,0.07573418584822,-0.461799866927663,0.645867581158177,1.22023283709142,1.0651827089088,1.74410074919097,1.10464149708918,0.819515726509728,0.573361372881622,0.938806076775716,-0.0349740369465829,0.07573418584822,0.95,-0.181384869511235,0.11638259546634,-0.461799866927663,61,0.644224846330247
"PLOT",NA,NA,NA,NA,1.92479625568738,1.52113532723213,2.64112480931933,1.17786682874364,0.519535507742809,0.378626559589859,0.657403705046814,NA,NA,NA,NA,NA,NA,NA,NA
"PLOT:two_EB",NA,NA,NA,NA,3.79167960492069,2.79981055915314,5.33016407026593,1.94722356315876,0.26373536379557,0.187611485653594,0.357167022151124,NA,NA,NA,NA,NA,NA,NA,NA
"PLOTALT700",0.220884699568023,0.154733456021975,1.42751739182154,0.158530278934039,NA,NA,NA,NA,NA,NA,NA,0.220884699568023,0.154733456021975,0.95,-0.0805517075982258,0.525244953045884,1.42751739182154,61,0.153430815768265
"PLOTALT700:two_EB",-0.138839627462749,0.14996213527182,-0.925831225402931,0.358182146235294,NA,NA,NA,NA,NA,NA,NA,-0.138839627462749,0.14996213527182,0.95,-0.455968267109844,0.178412146046151,-0.925831225402931,61,0.354533696999154
"PLOTALT800",0.249401828270019,0.308953392735503,0.807247417035273,0.422660488332136,NA,NA,NA,NA,NA,NA,NA,0.249401828270019,0.308953392735503,0.95,-0.306699828191916,0.923117498431512,0.807247417035273,61,0.419523952136922
"PLOTALT800:two_EB",0.125310843249858,0.364193955574443,0.34407721855846,0.731971518492224,NA,NA,NA,NA,NA,NA,NA,0.125310843249858,0.364193955574443,0.95,-0.529034465967659,0.952971298049076,0.34407721855846,61,0.730788215046007
"slope",0.0190327785402741,0.0756932402398473,0.251446212105142,0.802314305611497,1.21891375855265,1.06446316054635,1.74342047888257,1.10404427381906,0.820402586305538,0.573585094423659,0.939440684341523,0.0190327785402741,0.0756932402398473,0.95,-0.133882717175142,0.167009247793188,0.251446212105142,61,0.8014691429591
"TPI",0.121956713251278,0.075968594561859,1.60535697619063,0.113580411523333,1.22779813575832,1.06934115029887,1.74835779953613,1.10806052892354,0.81446613321527,0.571965303821287,0.935155258656705,0.121956713251278,0.075968594561859,0.95,-0.0280489896915361,0.266124118806389,1.60535697619063,61,0.108415266972704
