"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","R2","converge"
1,534.661038826061,-2.38848917785674,-258.330519413031,3.4174342475133,0.000316071808643814,0.155968332158026,TRUE
2,533.515591679489,-1.24304203128463,-257.757795839745,3.22347237847448,0.000633232560160679,0.164352345061607,TRUE
3,534.597674173367,-2.32512452516221,-258.298837086683,3.36543248633299,0.000382118836353565,0.156434697589959,TRUE
4,534.538461312327,-2.26591166412243,-258.269230656163,3.58635493308775,0.000167666235290069,0.15687023225563,TRUE
5,534.567349817318,-2.29480016911361,-258.283674908659,3.39870259789947,0.00033853148018533,0.156657778551482,TRUE
6,528.753759010234,3.51879063796991,-255.376879505117,3.1825874451551,0.00072982715863094,0.19817543080752,TRUE
7,527.200196209166,5.07235343903869,-254.600098104583,3.53539829245617,0.000203580475096572,0.208861489668599,TRUE
8,527.436420768308,4.83612887989591,-254.718210384154,3.8583836063433,5.70697010465685e-05,0.207247432047248,TRUE
9,528.169991423465,4.10255822473971,-255.084995711732,4.1763551339636,1.481086200861e-05,0.202210525839294,TRUE
10,528.166729122474,4.10582052573034,-255.083364561237,4.29325555695491,8.80360726548632e-06,0.202233008501473,TRUE
11,526.949629683855,5.32291996434947,-254.474814841927,4.36641744030172,6.31504977370667e-06,0.21056934167056,TRUE
12,526.464707824558,5.80784182364687,-254.232353912279,4.51943885658623,3.1001875366556e-06,0.213862316710996,TRUE
13,526.021901325149,6.25064832305566,-254.010950662574,4.67397590436192,1.4771200363426e-06,0.216855272483601,TRUE
14,526.934640926427,5.33790872177724,-254.467320463214,4.79824137530339,8.00324072925273e-07,0.210671367683872,TRUE
15,527.354294615182,4.91825503302198,-254.677147307591,4.80948904650511,7.56582935633943e-07,0.207809014046444,TRUE
16,527.627450920421,4.64509872778365,-254.81372546021,4.89727422566627,4.85875919897466e-07,0.205939357090944,TRUE
17,528.233984154918,4.0385654932868,-255.116992077459,4.95568057137424,3.60387736872963e-07,0.201769359831508,TRUE
18,528.557372581007,3.71517706719692,-255.278686290504,4.95858627126881,3.55040025288733e-07,0.199535546438287,TRUE
19,528.2008742107,4.07167543750461,-255.10043710535,5.08807390762818,1.80859205486316e-07,0.201997655489949,TRUE
20,528.10682953611,4.16572011209416,-255.053414768055,5.14639506240551,1.32769947929558e-07,0.2026456841632,TRUE
21,528.406915354733,3.86563429347143,-255.203457677366,5.21049309080738,9.41696974134748e-08,0.200575742486465,TRUE
22,528.439840706641,3.8327089415634,-255.219920353321,5.27920693507548,6.48721062193378e-08,0.200348246199001,TRUE
23,528.663893246687,3.60865640151769,-255.331946623343,5.2946266829057,5.96298952064622e-08,0.19879815062372,TRUE
24,529.103786583431,3.16876306477343,-255.551893291715,5.27701581424188,6.56522794955277e-08,0.19574452544478,TRUE
25,528.885989868709,3.38655977949543,-255.442994934354,5.37446871092271,3.84044095727667e-08,0.19725811370233,TRUE
26,529.336101940937,2.93644770726746,-255.668050970468,5.37111447224594,3.91257566804299e-08,0.194126354071585,TRUE
27,529.356303931656,2.91624571654802,-255.678151965828,5.42171414138568,2.95151132465345e-08,0.193985458831764,TRUE
28,529.224822095429,3.0477275527752,-255.612411047715,5.48013723465582,2.12498028835841e-08,0.194901938968606,TRUE
29,529.081406371821,3.19114327638295,-255.540703185911,5.54017404119586,1.51085593412706e-08,0.195900211721208,TRUE
30,529.690487879703,2.58206176850149,-255.845243939851,5.47624475560508,2.17223339866978e-08,0.191650560008374,TRUE
31,529.921669976672,2.35087967153208,-255.960834988336,5.47491658354137,2.18858876591218e-08,0.190030684611753,TRUE
32,530.015809403734,2.25674024447073,-256.007904701867,5.50612852043724,1.834053933215e-08,0.189369967421155,TRUE
33,530.150704911985,2.12184473621971,-256.075352455992,5.50397874546072,1.85657166949295e-08,0.18842210280656,TRUE
34,530.259151162701,2.01339848550356,-256.12957558135,5.47889106346044,2.13999878034403e-08,0.18765914635554,TRUE
35,530.495253498277,1.777296149927,-256.247626749139,5.46545481265622,2.308607022985e-08,0.185995177086684,TRUE
36,530.584617535653,1.68793211255138,-256.292308767827,5.47533423970353,2.18343284100222e-08,0.185364327869847,TRUE
37,530.66045913943,1.61209050877483,-256.330229569715,5.46547199303952,2.3083834215108e-08,0.184828488314703,TRUE
38,530.729333734418,1.5432159137863,-256.364666867209,5.46105572305922,2.36655722291856e-08,0.184341514463377,TRUE
39,530.655243258818,1.61730638938661,-256.327621629409,5.46612176409439,2.29994209252974e-08,0.184865353016464,TRUE
40,530.598060348653,1.67448929955117,-256.299030174327,5.48203811143309,2.10226812106784e-08,0.185269381200652,TRUE
41,530.636543083298,1.63600656490621,-256.318271541649,5.49825204204501,1.91787210537471e-08,0.184997505702525,TRUE
42,530.60769728534,1.66485236286428,-256.30384864267,5.47408801984549,2.19885226424466e-08,0.185201307477709,TRUE
43,530.680241461215,1.59230818698961,-256.340120730607,5.4586223847124,2.39921529941998e-08,0.184688653437302,TRUE
44,530.493663835965,1.77888581223942,-256.246831917982,5.48490188153192,2.06849485597798e-08,0.186006393835868,TRUE
45,530.268902274057,2.0036473741477,-256.134451137028,5.51381292168024,1.75570923998914e-08,0.187590502781509,TRUE
46,530.168407455659,2.10414219254551,-256.084203727829,5.5068865290235,1.82617754235005e-08,0.188297616719973,TRUE
47,529.751037472092,2.52151217611242,-255.875518736046,5.57771654772675,1.21848161067555e-08,0.191226660726963,TRUE
48,529.736253192513,2.53629645569129,-255.868126596257,5.58465583895668,1.17081731110572e-08,0.191330187437305,TRUE
49,529.524805787031,2.74774386117292,-255.762402893516,5.60512058995493,1.04055009996871e-08,0.192809147591896,TRUE
50,529.447778332718,2.82477131548649,-255.723889166359,5.60536224842171,1.03909925408104e-08,0.193347125474225,TRUE
