"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","R2","converge"
1,377.709865141375,-3.28864675839878,-179.854932570687,0.00633041918093236,0.497474545003674,0.0820854458220117,TRUE
2,378.33488280573,-3.91366442275381,-180.167441402865,-0.0529921852835816,0.521130932896656,0.0720745569607156,TRUE
3,375.926986929342,-1.5057685463658,-178.963493464671,-0.144861311356685,0.557589813388005,0.110008562163144,TRUE
4,374.894220310542,-0.47300192756552,-178.447110155271,-0.553872552072494,0.71016696450926,0.125764790361279,TRUE
5,373.80195028155,0.619268101425746,-177.900975140775,-0.46169637160743,0.677850463282348,0.142103482455086,TRUE
6,374.668820227416,-0.247601844439941,-178.334410113708,-0.235489923119254,0.593085750421682,0.129163581104965,TRUE
7,371.902251779649,2.51896660332739,-176.951125889824,-0.447257702103765,0.672655498343029,0.169745149651541,TRUE
8,370.704249973406,3.71696840956963,-176.352124986703,-0.374481679332809,0.64597700776831,0.186685119782789,TRUE
9,367.806454733052,6.61476364992382,-174.903227366526,-0.284489476963262,0.611982351397489,0.226151096972328,TRUE
10,365.379752369825,9.04146601315159,-173.689876184912,-0.343196633127094,0.634274731292492,0.257628852545319,TRUE
11,365.768113096888,8.65310528608774,-173.884056548444,-0.249063533630759,0.5983441816581,0.252684417917158,TRUE
12,365.054820880685,9.36639750229159,-173.527410440342,-0.0292848229169969,0.511681284365226,0.261738962232945,TRUE
13,364.269245559233,10.1519728237436,-173.134622779616,0.468243945055157,0.319805074702699,0.271576064101046,TRUE
14,365.096657670092,9.32456071288436,-173.548328835046,0.510200759991654,0.30495540990343,0.261211124026151,TRUE
15,365.460408563666,8.96080981931021,-173.730204281833,0.632032214070009,0.263682913725341,0.256604848663165,TRUE
16,364.748416500058,9.67280188291772,-173.374208250029,0.712999053456624,0.237923171427988,0.265592526787872,TRUE
17,363.613472036057,10.8077463469193,-172.806736018028,0.816968028061229,0.206973349712595,0.279680945331201,TRUE
18,362.691259726004,11.7299586569718,-172.345629863002,1.04136394977722,0.148853333596058,0.290916927232046,TRUE
19,362.131766287907,12.2894520950688,-172.065883143954,1.08489129311451,0.138984902371912,0.297642724103895,TRUE
20,361.878182180148,12.5430362028281,-171.939091090074,1.19424407984946,0.116191252449728,0.30066876342429,TRUE
21,361.366839856463,13.0543785265132,-171.683419928231,1.18003095560719,0.118993951639023,0.306728619925801,TRUE
22,361.475247288797,12.9459710941787,-171.737623644399,1.26117264037635,0.103623326840292,0.305448570039782,TRUE
23,362.448346238906,11.9728721440701,-172.224173119453,1.28154572581961,0.100001024865829,0.29384541364747,TRUE
24,363.023554597446,11.3976637855304,-172.511777298723,1.26120627470549,0.103617269266905,0.28688996387579,TRUE
25,363.05786563685,11.3633527461262,-172.528932818425,1.23450445379637,0.108507494067853,0.286472778017553,TRUE
26,362.827261348655,11.5939570343209,-172.413630674328,1.37495496957501,0.084572702835628,0.289271701738652,TRUE
27,361.916846157038,12.5043722259386,-171.958423078519,1.49705691014061,0.0671892252681631,0.30020827933977,TRUE
28,361.745754111617,12.6754642713587,-171.872877055809,1.50759602717031,0.0658289750847239,0.302243531011631,TRUE
29,361.218285917973,13.2029324650031,-171.609142958987,1.59498589062708,0.0553576954843798,0.308478644108301,TRUE
30,360.636985820171,13.7842325628056,-171.318492910085,1.69061175839497,0.0454554887171759,0.315281644495699,TRUE
31,360.79117770791,13.6300406750659,-171.395588853955,1.65890799517214,0.0485671666607338,0.313484074816805,TRUE
32,360.114381255376,14.3068371275997,-171.057190627688,1.73735917346216,0.041161896407856,0.321337115910122,TRUE
33,359.802653852134,14.6185645308421,-170.901326926067,1.77066643404752,0.0383080936781208,0.324922062482136,TRUE
34,359.894864298555,14.5263540844213,-170.947432149277,1.76529296753785,0.0387572704110397,0.323863714743552,TRUE
35,359.85448100584,14.5667373771362,-170.92724050292,1.75689723614349,0.0394676634182904,0.324327431410082,TRUE
36,359.603281974096,14.8179364088802,-170.801640987048,1.78632044769058,0.0370236939917632,0.32720435756098,TRUE
37,359.455803844443,14.9654145385335,-170.727901922221,1.7892783925356,0.0367849960570136,0.328887337848558,TRUE
38,359.133190144084,15.2880282388925,-170.566595072042,1.85314648786224,0.0319306825968726,0.332553377044189,TRUE
39,359.215076178678,15.2061422042981,-170.607538089339,1.85896928557781,0.0315157460482218,0.331624875185247,TRUE
40,359.20839225946,15.2128261235159,-170.60419612973,1.86147247906739,0.0313387417820114,0.331700715119032,TRUE
41,358.934484781615,15.4867336013608,-170.467242390808,1.88002374445697,0.0300524209653407,0.334800808598964,TRUE
42,358.798340059118,15.6228783238585,-170.399170029559,1.88765718788426,0.029535993663216,0.336336025249139,TRUE
43,358.627551761274,15.7936666217021,-170.313775880637,1.92270094471357,0.027258809070356,0.338256588127515,TRUE
44,358.85095647809,15.5702619048866,-170.425478239045,1.9386100941354,0.0262744167471378,0.335743149271501,TRUE
45,359.145284155488,15.2759342274884,-170.572642077744,1.91996462131565,0.0274311841757779,0.332416329717642,TRUE
46,359.155532161447,15.2656862215295,-170.577766080723,1.93036167316405,0.0267810201664939,0.332300177673038,TRUE
47,359.166999174072,15.2542192089039,-170.583499587036,1.91814971237641,0.0275460152587005,0.332170183876337,TRUE
48,359.115326327661,15.3058920553148,-170.557663163831,1.93535401696403,0.0264734339701565,0.332755752291417,TRUE
49,359.238886918303,15.1823314646728,-170.619443459152,1.92143973642044,0.0273381464947419,0.331354629475429,TRUE
50,359.373756270859,15.0474621121168,-170.68687813543,1.92966366456772,0.0268242624365111,0.329821709633498,TRUE
