"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","R2","converge"
1,1678.15449196323,-2.43148427792676,-830.077245981616,5.39182392316694,3.48730467353935e-08,0.324594789520279,TRUE
2,1676.38533899806,-0.662331312758397,-829.192669499032,5.16578790977591,1.19714082273742e-07,0.328807292207008,TRUE
3,1668.81330656136,6.90970112394507,-825.406653280681,4.72708672537527,1.13882001449434e-06,0.346496263913496,TRUE
4,1655.48175659478,20.2412510905267,-818.74087829739,4.08812577240988,2.17436187357854e-05,0.376345822439141,TRUE
5,1643.98210112459,31.7409065607114,-812.991050562297,2.99234266771512,0.00138422662253248,0.400834686970442,TRUE
6,1637.10295374402,38.6200539412887,-809.551476872009,2.68065479675421,0.00367391356572802,0.414954060457672,TRUE
7,1627.66877462255,48.0542330627597,-804.834387311273,2.17556446145092,0.0147939215697384,0.433700158605481,TRUE
8,1626.94500995695,48.777997728359,-804.472504978474,2.11111583300356,0.0173811784287423,0.435109591369004,TRUE
9,1612.30475728728,63.4182503980219,-797.152378643642,1.95191630260876,0.0254740712086002,0.462774070452773,TRUE
10,1606.56606058615,69.1569470991551,-794.283030293076,2.18526203261559,0.0144348197563036,0.473192541182382,TRUE
11,1602.71236138162,73.0106463036905,-792.356180690808,2.37926965965911,0.00867349035761219,0.480059295093592,TRUE
12,1597.42150010601,78.3015075792962,-789.710750053005,2.61824363401618,0.00441918380677875,0.489321128748564,TRUE
13,1590.57813732395,85.1448703613594,-786.289068661973,2.92542390577922,0.00171993645622311,0.501023034407826,TRUE
14,1589.36078183382,86.3622258514829,-785.680390916912,3.2645301397337,0.000548228984293605,0.503072518859635,TRUE
15,1587.65557388017,88.0674338051367,-784.827786940085,3.53959126318345,0.000200373590242743,0.505927241372222,TRUE
16,1582.83535622705,92.8876514582578,-782.417678113524,3.86230593463523,5.61608915545727e-05,0.51389649859194,TRUE
17,1582.10167938714,93.6213282981696,-782.050839693568,4.18602428195338,1.4194149638155e-05,0.515096624481838,TRUE
18,1580.61559308405,95.1074146012515,-781.307796542027,4.43602601269796,4.58173899028479e-06,0.517517216615043,TRUE
19,1579.90540373863,95.8176039466712,-780.952701869317,4.73464680292995,1.09718447069545e-06,0.518669149436695,TRUE
20,1577.83160370607,97.8914039792387,-779.915801853034,5.17042345008243,1.16782068015352e-07,0.522015032955758,TRUE
21,1576.42498463619,99.2980230491128,-779.212492318097,5.54025311277111,1.51017387766912e-08,0.524269451697432,TRUE
22,1574.61670225605,101.106305429259,-778.308351128024,5.95223238678099,1.32254713293569e-09,0.52714991717904,TRUE
23,1573.32503249079,102.397975194521,-777.662516245393,6.32587673411562,1.25899383732235e-10,0.529195340673434,TRUE
24,1571.56843125825,104.154576427057,-776.784215629125,6.68980574140261,1.11733519226414e-11,0.531960922408268,TRUE
25,1570.15207010399,105.570937581319,-776.076035051994,6.93390098815768,2.04695620225654e-12,0.534177422653122,TRUE
26,1568.56991268114,107.153095004167,-775.28495634057,7.30060423793068,1.43239124605724e-13,0.536639325623436,TRUE
27,1568.19704998829,107.525957697012,-775.098524994147,7.51781421127287,2.7849787995193e-14,0.537217366539053,TRUE
28,1567.646777152,108.076230533303,-774.823388576001,7.70986428583286,6.2975802086179e-15,0.538068950556289,TRUE
29,1566.59066231266,109.132345372651,-774.295331156328,7.99066392219836,6.71069885018477e-16,0.539698390610694,TRUE
30,1565.47798596979,110.245021715514,-773.738992984896,8.11567367871411,2.41548621380407e-16,0.541408058745282,TRUE
31,1564.40991412512,111.313093560191,-773.204957062558,8.23978412515569,8.62608247753305e-17,0.543042429270844,TRUE
32,1564.6164305166,111.106577168703,-773.308215258302,8.27517844796234,6.4131690978727e-17,0.542726931509062,TRUE
33,1563.25867934773,112.464328337573,-772.629339673866,8.35108931991812,3.38181234639471e-17,0.544796676273443,TRUE
34,1562.71113537038,113.01187231493,-772.355567685188,8.3027232845737,5.08758383719571e-17,0.545628345821537,TRUE
35,1562.41255024919,113.310457436116,-772.206275124595,8.29344128968749,5.5009125952154e-17,0.546081144851739,TRUE
36,1561.02942611079,114.693581574518,-771.514713055394,8.35413696241737,3.29564167695337e-17,0.548171978371506,TRUE
37,1559.82151289131,115.901494793992,-770.910756445657,8.3542974673718,3.29116399712602e-17,0.549989040663071,TRUE
38,1558.24179363913,117.481214046181,-770.120896819563,8.44646296010492,1.50130601396937e-17,0.552352951314872,TRUE
39,1556.1035928722,119.619414813108,-769.051796436099,8.54117063933445,6.64344171799555e-18,0.555530251442327,TRUE
40,1554.4497567612,121.273250924105,-768.224878380601,8.55906797562564,5.6891808464187e-18,0.557970324205199,TRUE
41,1553.67221298922,122.050794696083,-767.836106494612,8.57174637056065,5.09636897150624e-18,0.559112280674023,TRUE
42,1552.28780957947,123.435198105831,-767.143904789737,8.64834948450028,2.61248040360032e-18,0.561137276121157,TRUE
43,1550.82019706238,124.902810622924,-766.410098531191,8.69099950201861,1.79632308560806e-18,0.563272522909761,TRUE
44,1549.3755946748,126.347413010507,-765.687797337399,8.75747889967194,9.98329182232925e-19,0.565362845435206,TRUE
45,1547.3082172018,128.414790483506,-764.6541086009,8.72514364257127,1.32921485497659e-18,0.568334704469886,TRUE
46,1545.61785950354,130.105148181762,-763.808929751772,8.74681690514283,1.09727676589982e-18,0.570747569430096,TRUE
47,1544.77124837717,130.951759308139,-763.385624188584,8.76027479394394,9.73874834941288e-19,0.571950327299289,TRUE
48,1543.33042595994,132.392581725361,-762.665212979972,8.85187368941264,4.3031035114376e-19,0.573988540221419,TRUE
49,1541.98881438422,133.734193301087,-761.99440719211,8.8129592997797,6.09424049704528e-19,0.575876577348454,TRUE
50,1540.58845699816,135.134550687151,-761.294228499078,8.81096661270946,6.20356596294279e-19,0.577837236573822,TRUE
