"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","sd.two_DB","sd.two_EB","R2","converge"
1,282.696242603219,-3.57055160743903,-134.34812130161,0.582257686617561,0.280196561090618,1.88881405680293,0.930444147273307,0.181565597322457,TRUE
2,282.335958794218,-3.21026779843766,-134.167979397109,0.501282838538164,0.308086040695966,1.71804980273418,1.688418548134,0.187206001906378,TRUE
3,283.063355199491,-3.93766420371009,-134.531677599745,0.476255108562597,0.316946321494286,1.46826842328245,1.88931887391941,0.175772040156823,TRUE
4,282.366081414191,-3.24039041841036,-134.183040707095,0.33529636380769,0.368700768201651,1.20568561163182,1.92338099124367,0.186736130689298,TRUE
5,283.003435158722,-3.87774416294116,-134.501717579361,0.387390272432838,0.349233652092882,1.13416697922872,1.67446834883702,0.17672086955394,TRUE
6,282.740121163948,-3.6144301681677,-134.370060581974,0.272195178065547,0.392735974631707,1.12392195318772,1.57405841286807,0.180875596253753,TRUE
7,282.791393647081,-3.66570265130065,-134.395696823541,0.32335354906484,0.373213751976887,1.10720675168327,1.32229159955937,0.180068478116446,TRUE
8,281.644578087752,-2.51888709197164,-133.822289043876,0.280349266415257,0.389604778203481,0.954974508332428,0.981438976048103,0.197905498432941,TRUE
9,278.847177045952,0.278513949828493,-132.423588522976,0.107580089234267,0.457164395901126,0.949699601919726,0.875435875017847,0.239581631206617,TRUE
10,278.969800525448,0.155890470332622,-132.484900262724,0.137618697003482,0.445270889029174,0.92213303562855,0.85700715712945,0.237807497949651,TRUE
11,279.058171025104,0.0675199706761873,-132.529085512552,0.0707529457533147,0.47179719088329,0.804777340142298,0.848801501166581,0.236526009881468,TRUE
12,278.691636526124,0.434054469656871,-132.345818263062,0.118314357923913,0.452909290663333,0.804291772106778,0.838527804476656,0.241825231381334,TRUE
13,279.054573153149,0.0711178426314518,-132.527286576574,0.214859140560546,0.414938570989425,0.800868049751302,0.797428778918353,0.236578231779833,TRUE
14,279.932775056543,-0.807084060762861,-132.966387528272,0.223564021006245,0.411548281062847,0.766700838467565,0.760580224025395,0.22370944873503,TRUE
15,280.142938164516,-1.01724716873554,-133.071469082258,0.311291127915841,0.377789655685723,0.760750856411333,0.734511124484888,0.220593147068831,TRUE
16,280.001421860916,-0.875730865135495,-133.000710930458,0.340373858422201,0.366787501324518,0.751381353092309,0.672007372824593,0.222693122743551,TRUE
17,280.404088330843,-1.27839733506255,-133.202044165421,0.276847599544975,0.390948564946141,0.746601517225282,0.638408544079297,0.216700849972196,TRUE
18,280.901291226548,-1.77560023076768,-133.450645613274,0.263397924547914,0.396121945057655,0.751377981792194,0.60495803917273,0.209228666539207,TRUE
19,280.76120139145,-1.63551039566971,-133.380600695725,0.282093802018618,0.388935792798512,0.742983166956725,0.589792439709491,0.211342221750581,TRUE
20,280.997143942977,-1.87145294719636,-133.498571971488,0.274294385677897,0.391929199351312,0.739314810154504,0.548918881594869,0.207778786388402,TRUE
21,281.245852774549,-2.12016177876825,-133.622926387274,0.252226956235809,0.400432821712186,0.728424614044478,0.541248684318913,0.20400256749163,TRUE
22,281.374358430895,-2.24866743511456,-133.687179215447,0.252548586347132,0.40030853217366,0.714693020345721,0.528234324308614,0.202043353125559,TRUE
23,281.147016101729,-2.02132510594851,-133.573508050864,0.280895519611029,0.389395268597891,0.689530517310181,0.523730517674088,0.20550569645813,TRUE
24,281.064867282245,-1.939176286465,-133.532433641123,0.272386628801893,0.392662376413124,0.667107831243129,0.506051631032351,0.206752559594607,TRUE
25,280.242948810361,-1.11725781458074,-133.121474405181,0.23865070504526,0.405688221979002,0.650199666409105,0.49389434949077,0.219105164549414,TRUE
26,280.507971052344,-1.38228005656322,-133.253985526172,0.247929945666335,0.402094304906962,0.641398001613156,0.489070949494572,0.215146356691352,TRUE
27,280.530840792752,-1.40514979697173,-133.265420396376,0.246661606555951,0.402585061044674,0.637595794015061,0.484847307511517,0.214803661648131,TRUE
28,280.601751368553,-1.47606037277262,-133.300875684277,0.270420818742438,0.393418262745105,0.632927182511294,0.484245499143881,0.21374000239122,TRUE
29,280.763040844731,-1.63734984895024,-133.381520422365,0.291289555799783,0.385414937278311,0.624790771361691,0.477575180954663,0.211314511590271,TRUE
30,280.642746826356,-1.51705583057583,-133.321373413178,0.260380327320842,0.397285208131565,0.618335484613888,0.463531079871818,0.213124317933553,TRUE
31,281.118355642027,-1.99266464624623,-133.559177821013,0.296009618097493,0.383611368103003,0.604699841284808,0.460055750913965,0.205940962583893,TRUE
32,281.416743870678,-2.29105287489779,-133.708371935339,0.310308137627712,0.378163321728525,0.598912041206865,0.45149748020572,0.201395928010418,TRUE
33,281.454133890276,-2.32844289449577,-133.727066945138,0.316427206055136,0.375839134780297,0.585492688699969,0.448250175918416,0.20082430685724,TRUE
34,281.355809076624,-2.23011808084402,-133.677904538312,0.341255927718252,0.366455461583922,0.575996081325069,0.449025849866526,0.202326499890147,TRUE
35,281.106936528874,-1.98124553309316,-133.553468264437,0.336816818008398,0.368127497089082,0.563495977167532,0.439476525378347,0.206114308461894,TRUE
36,281.421433449074,-2.29574245329326,-133.710716724537,0.373482081851507,0.354394839383174,0.559253276744772,0.434949165450578,0.201324259114449,TRUE
37,281.445726532792,-2.32003553701139,-133.722863266396,0.368449333134055,0.356269109060579,0.552213713527932,0.430501083303042,0.200952879946874,TRUE
