"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","sd.two_DB","sd.two_EB","R2","converge"
1,217.600560938241,-3.41422560191987,-101.80028046912,-0.136517638647915,0.554293959267502,1.62738609688631,0.849858725677965,0.273248742811555,TRUE
2,218.125935849092,-3.93960051277162,-102.062967924546,-0.334135333143431,0.630861280610631,1.59184594514822,1.30183312376405,0.262315651584482,TRUE
3,216.880137992816,-2.69380265649514,-101.440068996408,-0.317253349056299,0.624474313836195,1.09561700490152,1.49142121586078,0.28796055606822,TRUE
4,216.863496248328,-2.67716091200717,-101.431748124164,-0.391286980634733,0.652207439378756,1.00129358063835,1.67561316583651,0.288296622175811,TRUE
5,215.37126409414,-1.18492875781951,-100.68563204707,-0.293540095713023,0.615445321704307,0.981185020027647,1.76119305842616,0.317754799845839,TRUE
6,215.363237694441,-1.17690235811989,-100.68161884722,0.0431533913671086,0.482789629375579,1.0023930028324,1.62201559900998,0.317909693219021,TRUE
7,215.593288442545,-1.40695310622465,-100.796644221273,-0.54981928376555,0.708778334609787,1.02417895068492,1.43210833353726,0.313455305590179,TRUE
8,215.274122378237,-1.0877870419163,-100.637061189119,-0.36040391600229,0.640727450710846,0.992324171394518,1.30754553703341,0.319626928115108,TRUE
9,213.852779752004,0.333555584316684,-99.9263898760021,-0.289075429807518,0.613738172261994,0.797931620319291,1.26870661308399,0.346403406916057,TRUE
10,212.565468968981,1.62086636733963,-99.2827344844906,-0.430317120663063,0.666517512637018,0.695348437016788,1.04702986780363,0.369690153385726,TRUE
11,211.1899917612,2.99634357512048,-98.5949958806002,-0.232342839841357,0.591864129354543,0.637783933372758,0.862085525025411,0.393602829077909,TRUE
12,210.583775397426,3.60255993889444,-98.2918876987132,-0.114970340662475,0.545765684577407,0.604430565541387,0.757362824369984,0.403835238498541,TRUE
13,209.993570394867,4.19276494145353,-97.9967851974336,0.135431178741115,0.446135487071956,0.58630523440191,0.715341012962954,0.413622111029191,TRUE
14,208.923719249895,5.26261608642631,-97.4618596249473,0.297166974242032,0.383169517154669,0.574427507941724,0.661178050446386,0.430932365282995,TRUE
15,209.320118579635,4.86621675668604,-97.6600592898174,0.384322454938977,0.350369733479706,0.548620318183412,0.653866962519374,0.424582384708815,TRUE
16,209.200847393805,4.98548794251582,-97.6004236969025,0.356937675051367,0.36056923216316,0.52881704563671,0.645184198391698,0.426500837901542,TRUE
17,207.49475827583,6.69157706049089,-96.747379137915,0.429307879074418,0.333849591832308,0.491204335354897,0.60138207101099,0.453216385216631,TRUE
18,207.18710128775,6.99923404857125,-96.5935506438748,0.616507290566899,0.268779880825292,0.479235328448804,0.578435373686674,0.457892695442169,TRUE
19,206.596162071155,7.59017326516559,-96.2980810355776,0.680948342721039,0.24795208870607,0.472106781804129,0.548616981747413,0.466757077191694,TRUE
20,206.627049907827,7.55928542849421,-96.3135249539133,0.789634641841925,0.214870585522326,0.470343952095707,0.528483613218047,0.466297544784633,TRUE
21,205.703947524465,8.4823878118556,-95.8519737622326,0.649353420214113,0.258054982079281,0.453281731826471,0.515239743413065,0.479852848627261,TRUE
22,205.513015490806,8.67331984551504,-95.7565077454029,0.737707833171732,0.230346005526872,0.445915603865542,0.504105354895839,0.48261111885556,TRUE
23,206.163662068102,8.02267326821925,-96.0818310340508,0.769634918879731,0.220758242706679,0.440779494449237,0.494337277961317,0.473148023696684,TRUE
24,206.181574042556,8.00476129376469,-96.0907870212781,0.75526356039332,0.225045429137883,0.427094303544407,0.489157390701969,0.472884948997032,TRUE
25,206.04471857447,8.1416167618508,-96.022359287235,0.830313861993658,0.203180676331728,0.424324902288478,0.487690609238215,0.474891456849878,TRUE
26,205.843298882791,8.34303645353026,-95.9216494413953,0.908291935583023,0.181862001049957,0.414603929220963,0.478731373790459,0.477829973080668,TRUE
27,205.561882108496,8.62445322782463,-95.7809410542481,0.892353060988002,0.18610186096387,0.405620228708944,0.477529084557019,0.481906642186262,TRUE
28,204.788793297765,9.39754203855594,-95.3943966488824,0.894541131306184,0.185516216510324,0.403082566886186,0.467085278264324,0.492934531720892,TRUE
29,204.683191580628,9.50314375569272,-95.341595790314,0.886255769945873,0.187739858616296,0.392654118094546,0.461728534688328,0.494421655253862,TRUE
30,204.062924221149,10.1234111151714,-95.0314621105747,0.882650066533883,0.188712684402882,0.393095799671696,0.457800163579515,0.503064540280123,TRUE
31,204.456306534822,9.73002880149832,-95.2281532674112,0.823329598476512,0.205160293123296,0.391814077707456,0.453356875504717,0.49760126561615,TRUE
32,204.161319160758,10.0250161755629,-95.080659580379,0.851632157439155,0.197209142805715,0.385801447235837,0.447088929092267,0.501703910938467,TRUE
33,203.974663294817,10.2116720415039,-94.9873316474084,0.858784975482074,0.195229579121299,0.374531777667038,0.439781452252654,0.504281716407361,TRUE
34,204.012763433293,10.1735719030275,-95.0063817166467,0.848034574458149,0.19820935799673,0.372308618443981,0.436075915093243,0.503756674739522,TRUE
35,204.092306629895,10.0940287064257,-95.0461533149475,0.778181007060785,0.21823115601424,0.368097393683027,0.433204446706098,0.502658641983172,TRUE
36,203.763972919244,10.4223624170766,-94.8819864596221,0.781244617904089,0.217329318114448,0.363053987242163,0.423078094936986,0.507174643958298,TRUE
37,203.47522324466,10.7111120916609,-94.7376116223299,0.74728955840233,0.227444396975214,0.361019578938402,0.421840433090148,0.511110639038663,TRUE
38,202.624320399684,11.5620149366366,-94.3121601998421,0.776765568000992,0.218648547304978,0.359478701051213,0.416246886063563,0.522518890621133,TRUE
39,202.355778271543,11.8305570647776,-94.1778891357716,0.74320149083832,0.228679850453249,0.357190900189755,0.408246898705467,0.526061094446018,TRUE
40,202.231220370167,11.9551149661538,-94.1156101850835,0.733641594731688,0.23158360162098,0.357328356255025,0.403981617007621,0.527694718140895,TRUE
