"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","sd.two_DB","sd.two_EB","R2","converge"
1,941.509152096852,-3.52134032623144,-461.754576048426,-0.690285607302006,0.754992701453488,1.65979196108197,1.26478746945521,0.0902482881951971,TRUE
2,941.946843902024,-3.95903213140343,-461.973421951012,-0.710151444555399,0.76119488632737,1.84379579501915,1.76231903764378,0.0880621512726311,TRUE
3,938.836641983124,-0.848830212503003,-460.418320991562,-0.519500677169362,0.698294179599686,1.70722401121727,1.82588477104835,0.103469136007024,TRUE
4,939.065053885322,-1.07724211470145,-460.532526942661,-0.511989047781754,0.695670662651719,1.61474961626595,1.75467044385548,0.102347693088613,TRUE
5,936.596078099389,1.39173367123203,-459.298039049694,-0.34684116070566,0.635644673710912,1.58364453525996,1.46758864575592,0.1143864263094,TRUE
6,939.491039565963,-1.50322779534224,-460.745519782982,-0.48751385866761,0.687052887928532,1.54476147760994,1.33259686493663,0.100251987765698,TRUE
7,939.709571812056,-1.72176004143546,-460.854785906028,-0.562819377971876,0.713221058199679,1.48848025416234,1.15161103050456,0.099174743071434,TRUE
8,938.494594091712,-0.506782321091237,-460.247297045856,-0.537038302746774,0.704379421667616,1.44770064989763,0.959287227839481,0.105145550605102,TRUE
9,940.007140089412,-2.01932831879071,-461.003570044706,-0.591788809280204,0.723003991095075,1.4022850079607,0.85755470670565,0.0977055551823334,TRUE
10,938.943837369916,-0.956025599294776,-460.471918684958,-0.526379177151274,0.70068760976611,1.36839666241983,0.766958612261209,0.102943031346292,TRUE
11,940.183328152503,-2.19551638188227,-461.091664076252,-0.542803971985947,0.706367610921312,1.35122016368015,0.736885948670877,0.0968343862357855,TRUE
12,940.870782005431,-2.88297023481016,-461.435391002716,-0.584022551289027,0.720397430091907,1.32084500307632,0.724352015051029,0.0934261613565918,TRUE
13,940.109362241371,-2.12155047075032,-461.054681120686,-0.514432190373125,0.696525070924486,1.30202539068205,0.690178568276593,0.0972002290948234,TRUE
14,939.635833337867,-1.64802156724625,-460.817916668934,-0.465338803774825,0.67915557467056,1.26348381450367,0.672147883234072,0.0995383959475821,TRUE
15,939.068832687493,-1.08102091687226,-460.534416343747,-0.453716309987571,0.674983486882269,1.21665357674788,0.657345893702975,0.102329126864926,TRUE
16,939.456535574147,-1.46872380352579,-460.728267787073,-0.480369958332387,0.684517824024078,1.20764632933496,0.627482886273693,0.100421940833117,TRUE
17,939.847303822744,-1.85949205212319,-460.923651911372,-0.497261594737799,0.690497704612955,1.20122222959078,0.616996101810682,0.0984950524817362,TRUE
18,939.302309668225,-1.31449789760381,-460.651154834112,-0.415472474962148,0.661101969577405,1.16101743940338,0.597339378543247,0.101181154640201,TRUE
19,939.153158319791,-1.16534654916961,-460.576579159895,-0.404061316471044,0.656916184876891,1.14938939911925,0.588611328047029,0.101914700800922,TRUE
20,938.883326815146,-0.8955150445247,-460.441663407573,-0.354309802310889,0.638446638776192,1.13834612316772,0.571003504542898,0.103240054092911,TRUE
21,938.904617625417,-0.916805854795825,-460.452308812708,-0.325236888901165,0.627499104159925,1.12599539607723,0.564679852698937,0.103135558437845,TRUE
22,938.524604435715,-0.536792665093913,-460.262302217857,-0.26628186833669,0.604988931935947,1.10919203185204,0.555539842957235,0.104998608044997,TRUE
23,938.293369835951,-0.305558065330274,-460.146684917976,-0.224516458657504,0.58882226918721,1.09212008316841,0.553964427809212,0.106130122485422,TRUE
24,938.546817179902,-0.559005409281212,-460.273408589951,-0.237860911812914,0.5940055133374,1.07603921671752,0.546388828722574,0.104889828118457,TRUE
25,939.241959694813,-1.25414792419213,-460.620979847407,-0.314050281655513,0.623258575032282,1.05631735875376,0.54067221608493,0.101478045148174,TRUE
26,939.24714619659,-1.25933442596909,-460.623573098295,-0.295887753237521,0.61634209798302,1.0322919148705,0.538292630395298,0.101452534596732,TRUE
27,938.821701210514,-0.833889439893142,-460.410850605257,-0.238454150053534,0.594235563646759,1.0163773868309,0.536803921226534,0.103542436268384,TRUE
28,938.843722257984,-0.855910487362962,-460.421861128992,-0.24457837245674,0.596608544091686,1.00366045454091,0.537223240631051,0.103434397425851,TRUE
29,938.505001102001,-0.51718933138045,-460.252500551001,-0.180276180362693,0.571532122692293,0.986914215846752,0.532316130891429,0.10509459682992,TRUE
30,938.516219120272,-0.528407349650934,-460.258109560136,-0.153660505355407,0.561061286491757,0.97854772487734,0.530282075612275,0.105039668616003,TRUE
31,938.254416938523,-0.266605167902298,-460.127208469262,-0.0914907345232768,0.536448665930467,0.969456741323561,0.528999555020769,0.10632057439867,TRUE
32,938.173452350449,-0.185640579827805,-460.086726175224,-0.0712287547717175,0.528392151733062,0.954024372657016,0.525722380312009,0.106716287276732,TRUE
33,937.963391451322,0.0244203192985424,-459.981695725661,-0.0497332852719085,0.519832534270822,0.93514226393086,0.522000450052513,0.107742035665082,TRUE
34,937.885659739355,0.102152031266428,-459.942829869677,-0.0397210084946516,0.515842223731967,0.919649006219298,0.522000299960502,0.108121270942163,TRUE
35,937.955669825546,0.0321419450746134,-459.977834912773,-0.0549289093958032,0.521902449863393,0.905340899903183,0.516792376375712,0.107779715840603,TRUE
36,937.832176223946,0.155635546675057,-459.916088111973,-0.0362180642600532,0.514445758878959,0.89026739453669,0.513308430747803,0.108382099343113,TRUE
37,937.701119639046,0.286692131574796,-459.850559819523,-0.0322745183242282,0.512873434976475,0.875506894981837,0.512165866757531,0.109020872864679,TRUE
38,937.258942992432,0.728868778188712,-459.629471496216,0.0184964692349501,0.4926213971136,0.857234056257381,0.509598595354016,0.11117225350078,TRUE
39,937.312466728196,0.675345042424738,-459.656233364098,0.0164075021727151,0.493454647343683,0.845965630930416,0.509362002917827,0.110912148926166,TRUE
40,937.241157295736,0.746654474884849,-459.620578647868,0.0243878740840337,0.490271610264801,0.834076896296256,0.5109010030341,0.11125866610726,TRUE
41,937.154575465532,0.833236305089144,-459.577287732766,0.0391729525712899,0.484376248900284,0.822977329573927,0.509487197567334,0.111679192684248,TRUE
42,936.998706287762,0.989105482859031,-459.499353143881,0.0573320102648391,0.47714036088802,0.807740628052363,0.508974087782172,0.112435682017408,TRUE
43,936.80219755725,1.18561421337131,-459.401098778625,0.0662090633639729,0.473605690544373,0.791945636340547,0.508838211438782,0.113388375951891,TRUE
