"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","R2","converge"
1,947.912066521415,-9.92425475079449,-460.956033260708,-0.767275438903429,0.778541115883289,0.0981752566703704,TRUE
2,946.771718323919,-8.78390655329815,-460.38585916196,-0.91068324336787,0.818768852203421,0.103787606001561,TRUE
3,944.689262040015,-6.70145026939372,-459.344631020007,-0.793700224298587,0.786315015177631,0.113935377442336,TRUE
4,942.514604333268,-4.52679256264742,-458.257302166634,-0.694374903578757,0.756276435953869,0.124394551094185,TRUE
5,939.680248240172,-1.69243646955135,-456.840124120086,-0.493213596519066,0.689069164096283,0.137818679222429,TRUE
6,942.866130677144,-4.87831890652274,-458.433065338572,-0.567756317712911,0.714899777621635,0.122713316547461,TRUE
7,944.285692300797,-6.29788053017603,-459.142846150398,-0.509453584727328,0.694782837607612,0.115886958206794,TRUE
8,940.348096914101,-2.36028514348004,-457.174048457051,-0.367524428708008,0.643386063308144,0.134676572651171,TRUE
9,939.034620727554,-1.04680895693332,-456.517310363777,-0.506783386225293,0.693846592655947,0.140844050330424,TRUE
10,936.567551827861,1.42025994275957,-455.283775913931,-0.427957084053587,0.665658817150453,0.152295194191482,TRUE
11,937.743556844785,0.244254925835776,-455.871778422393,-0.449072169685526,0.673310202072946,0.146858179473401,TRUE
12,938.893778105716,-0.905966335095172,-456.446889052858,-0.403267971863667,0.656624449671136,0.141502443632583,TRUE
13,938.049454450765,-0.0616426801443595,-456.024727225383,-0.341755421637452,0.633732519965931,0.145437512824817,TRUE
14,938.748172701264,-0.76036093064306,-456.374086350632,-0.383327390078626,0.649261483456793,0.142182505290788,TRUE
15,938.41810691488,-0.430295144259048,-456.20905345744,-0.297360483263552,0.61690434515925,0.143721863273038,TRUE
16,939.007715856,-1.01990408537893,-456.503857928,-0.341754079489273,0.633732014899464,0.140969865665345,TRUE
17,941.112240160228,-3.12442838960737,-457.556120080114,-0.409882204549404,0.659053819973241,0.131065611473699,TRUE
18,941.191041625863,-3.20322985524194,-457.595520812931,-0.363257277415747,0.641793647830842,0.130692271955669,TRUE
19,940.716077732084,-2.72826596146274,-457.358038866042,-0.328858837196425,0.628868805766178,0.132939789166772,TRUE
20,941.105547412339,-3.11773564171779,-457.552773706169,-0.284308666072402,0.61191307725358,0.1310973115495,TRUE
21,941.432501682347,-3.44468991172562,-457.716250841173,-0.294411282903801,0.615778176868666,0.129547177137086,TRUE
22,941.336012489163,-3.34820071854176,-457.668006244581,-0.26462783012888,0.604351910569121,0.13000496876499,TRUE
23,940.797435517908,-2.80962374728711,-457.398717758954,-0.196386059315915,0.577845996568991,0.132555270458978,TRUE
24,940.821055627682,-2.83324385706055,-457.410527813841,-0.214679556243335,0.584991418641522,0.132443599568553,TRUE
25,940.62263913655,-2.63482736592948,-457.311319568275,-0.254109360120801,0.600294463832549,0.133381168537651,TRUE
26,940.932620725405,-2.94480895478375,-457.466310362702,-0.229082763862121,0.590597705139355,0.131915924760632,TRUE
27,940.640537444103,-2.65272567348222,-457.320268722052,-0.18636541226854,0.573920892877192,0.133296641205197,TRUE
28,940.831806326379,-2.84399455575817,-457.41590316319,-0.195537073044577,0.577513741157126,0.132392767181499,TRUE
29,940.737453891945,-2.74964212132409,-457.368726945973,-0.136393018351777,0.554244703674667,0.132838778274117,TRUE
30,940.739685924291,-2.75187415367009,-457.369842962146,-0.120381938762951,0.547909700936336,0.132828230266776,TRUE
31,940.840831960078,-2.85302018945697,-457.420415980039,-0.0692691425320779,0.527612306293281,0.132350088809931,TRUE
32,941.365558513258,-3.37774674263699,-457.682779256629,-0.0758262519842761,0.530221334908839,0.129864816841756,TRUE
33,940.977498017731,-2.9896862471096,-457.488749008865,-0.0408069352844302,0.516275094795764,0.131703564675392,TRUE
34,940.726409750009,-2.73859797938815,-457.363204875005,-0.0410556973515547,0.516374253403235,0.132890967907978,TRUE
35,940.449443147981,-2.46163137735982,-457.22472157399,-0.0557441343491116,0.522227179992482,0.134198632785093,TRUE
36,940.8316718631,-2.84386009247896,-457.41583593155,-0.057271317639341,0.522835465976172,0.132393402983137,TRUE
37,940.781985841945,-2.79417407132451,-457.390992920973,-0.0504484482546104,0.520117485307,0.132628304518657,TRUE
38,940.608533645646,-2.62072187502463,-457.304266822823,-0.0202524041371075,0.508078988006844,0.133447777215661,TRUE
39,940.692205582832,-2.70439381221115,-457.346102791416,-0.0125212022395478,0.504995106451919,0.133052578965896,TRUE
40,940.621021330902,-2.63320956028087,-457.310510665451,-0.00524533102731579,0.502092574725818,0.133388808400704,TRUE
41,940.554813407356,-2.56700163673497,-457.277406703678,0.00943471849152566,0.496236147729331,0.133701401180211,TRUE
42,940.585417884065,-2.59760611344427,-457.292708942033,0.0236934462965259,0.490548566818812,0.1335569215724,TRUE
43,940.250999989044,-2.26318821842347,-457.125499994522,0.0336530221505923,0.486576920312886,0.135134194889637,TRUE
44,940.118462172187,-2.1306504015663,-457.059231086094,0.0508980808773808,0.479703367383766,0.135758412481388,TRUE
45,940.085442328583,-2.09763055796247,-457.042721164292,0.0247601882528992,0.490123123243269,0.135913848258066,TRUE
46,939.853101852092,-1.86529008147056,-456.926550926046,0.0128157373600885,0.494887400464477,0.137006666625165,TRUE
47,939.700609419684,-1.71279764906274,-456.850304709842,-0.000241001857299149,0.500096145829601,0.13772307336993,TRUE
48,939.560261819097,-1.57245004847607,-456.780130909549,0.0149152239047837,0.494049907177025,0.138381833098484,TRUE
49,939.532989778797,-1.54517800817644,-456.766494889399,-0.00525862603733644,0.502097878594284,0.138509776191577,TRUE
50,939.470249084706,-1.48243731408525,-456.735124542353,-0.0164319187363416,0.506555092142884,0.138804034605735,TRUE
