"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","sd.two_DB","sd.two_EB","R2","converge"
1,1461.83119619545,-1.91411691244684,-721.915598097724,7.46028849960846,4.31666170744042e-14,NA,NA,0.0855846258046487,TRUE
2,1459.0520706535,0.865008629501972,-720.52603532675,7.2438443833888,2.18070912045814e-13,NA,NA,0.0918972910197525,TRUE
3,1455.66784113194,4.24923815105763,-718.833920565972,6.70000664726312,1.04205029603766e-11,NA,NA,0.0995142302552797,TRUE
4,1447.27159835434,12.6454809286665,-714.635799177168,6.72265133548528,8.92236198142126e-12,NA,NA,0.118084632377259,TRUE
5,1433.89560983778,26.0214694452231,-707.947804918889,6.27690890400106,1.72685147215459e-10,NA,NA,0.146733975406141,TRUE
6,1415.72930067054,44.1877786124649,-698.864650335268,5.93982856735795,1.42660142029644e-09,NA,NA,0.183888035260212,TRUE
7,1407.16039456141,52.7566847215921,-694.580197280705,6.02056727092854,8.69034254578842e-10,NA,NA,0.200743679166645,TRUE
8,1403.41494268297,56.5021366000276,-692.707471341487,6.52646532387161,3.36699488060143e-11,NA,NA,0.207981137876432,TRUE
9,1387.04583534442,72.8712439385818,-684.52291767221,6.62639773983859,1.71988783993483e-11,NA,NA,0.238713027787889,TRUE
10,1386.33455065211,73.5825286308923,-684.167275326055,6.87660739847409,3.06473646141802e-12,NA,NA,0.240016041138892,TRUE
11,1381.28374240109,78.6333368819119,-681.641871200545,6.82846332094955,4.29145036907793e-12,0.72311129105325,NA,0.249193082168736,TRUE
12,1374.17662713552,85.7404521474793,-678.088313567761,6.69026442009977,1.11383853354014e-11,0.692469475028002,0.679569280602836,0.261885085283745,TRUE
13,1368.65768520007,91.2593940829333,-675.328842600034,6.77941205051803,6.03329631361169e-12,0.672686784192515,0.662992027450331,0.271566033979079,TRUE
14,1365.90737864525,94.0097006377562,-673.953689322623,7.11888181165775,5.44030792145417e-13,0.664264845067558,0.657647487954186,0.276334344869671,TRUE
15,1360.66261076241,99.2544685205896,-671.331305381206,7.29587361870639,1.48363669380735e-13,0.650948296813815,0.63661957387504,0.285325550837084,TRUE
16,1356.09544143298,103.821637850024,-669.047720716489,7.49953422658382,3.20224991773947e-14,0.640334725319407,0.620548113895591,0.293047819880819,TRUE
17,1355.52758782765,104.389491455355,-668.763793913823,7.41670656308529,6.00342793560599e-14,0.628497594248514,0.609078326622887,0.294001057064139,TRUE
18,1351.09589744999,108.821181833009,-666.547948724996,7.52284437727557,2.67986033187423e-14,0.615867804542309,0.592975344942899,0.301388504997471,TRUE
19,1347.23767160232,112.679407680686,-664.618835801158,7.76114586845161,4.20827224517179e-15,0.606874966944303,0.581400350218972,0.307745848593539,TRUE
