"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","R2","converge"
1,933.066377146931,4.39442318746467,-453.533188573466,0.621719660227908,0.267063110852207,0.24449571920446,TRUE
2,939.079819789296,-1.61901945489944,-456.539909894648,0.708957188865867,0.239175522075878,0.225699466432447,TRUE
3,940.723022049445,-3.26222171504855,-457.361511024722,0.26787563386125,0.394397524918472,0.220465769616681,TRUE
4,936.150444014257,1.31035632013902,-455.075222007129,0.287134967213498,0.387004489489722,0.234925236758674,TRUE
5,932.77020670335,4.69059363104623,-453.385103351675,0.578808333066352,0.281359253882709,0.245407200200968,TRUE
6,927.446035620515,10.0147647138809,-450.723017810258,0.853021418775701,0.196823713250463,0.261569439009939,TRUE
7,923.840580090505,13.620220243891,-448.920290045253,1.25897110107319,0.104020385133324,0.2722784373511,TRUE
8,924.818469324585,12.6423310098111,-449.409234662293,1.18732074521918,0.117550564139394,0.269392422342839,TRUE
9,924.47540670534,12.9853936290563,-449.23770335267,1.2838816707499,0.0995916807476869,0.270406454354664,TRUE
10,921.217379323582,16.2434210108139,-447.608689661791,1.42829752544082,0.0766031199009412,0.27995290200671,TRUE
11,911.191956961349,26.2688433730468,-442.595978480675,1.80337700180399,0.0356645134738563,0.308403303129219,TRUE
12,905.68733956106,31.7734607733361,-439.84366978053,1.76279535516615,0.0389675055507659,0.323451545322464,TRUE
13,903.053968310148,34.406832024248,-438.526984155074,1.95808302553505,0.0251101356043408,0.330511843164396,TRUE
14,902.340552307399,35.1202480269974,-438.170276153699,1.95132454617955,0.0255092254571615,0.332409382677362,TRUE
15,899.863588890082,37.5972114443143,-436.931794445041,2.0353135462955,0.0209096670018609,0.338947872008622,TRUE
16,899.174806454773,38.2859938796227,-436.587403227387,2.09653041092817,0.0180175825621083,0.340752445609841,TRUE
17,897.480372194855,39.9804281395412,-435.740186097427,2.13782949087206,0.0162652922733637,0.345166784038933,TRUE
18,896.883316999045,40.5774833353508,-435.441658499523,2.18524928414153,0.0144352868627563,0.346713812815783,TRUE
19,894.504638997955,42.956161336441,-434.252319498978,2.16483553217892,0.0152001413276784,0.352834029280246,TRUE
20,893.419391395728,44.0414089386684,-433.709695697864,2.12925524240746,0.0166165743218817,0.355603562800541,TRUE
21,892.39541159383,45.0653887405659,-433.197705796915,2.13590992475308,0.0163433782434259,0.358203780068305,TRUE
22,891.146554405796,46.3142459286004,-432.573277202898,2.18864574510545,0.0143112991035446,0.361358107005753,TRUE
23,889.856471385052,47.6043289493439,-431.928235692526,2.31713970531378,0.0102480613611959,0.36459715864187,TRUE
24,888.315239421625,49.1455609127711,-431.157619710813,2.33804999155084,0.00969232748554311,0.368441126821248,TRUE
25,885.943239586139,51.5175607482573,-429.971619793069,2.4191375495737,0.00777867807743725,0.374303071210908,TRUE
26,885.156528045365,52.3042722890311,-429.578264022683,2.43621983142388,0.00742083086715428,0.376232940323463,TRUE
27,883.657682661785,53.8031176726114,-428.828841330892,2.44350541252865,0.00727267570810012,0.379890139210168,TRUE
28,882.833474835962,54.6273254984339,-428.416737417981,2.47262762253563,0.00670619075558965,0.381890327328187,TRUE
29,881.901786239445,55.5590140949512,-427.950893119722,2.50335450775713,0.00615111247898344,0.384142103464214,TRUE
30,881.693399509865,55.7674008245314,-427.846699754932,2.51755217431293,0.00590867328939765,0.384644410559584,TRUE
31,880.225613282912,57.2351870514842,-427.112806641456,2.58190332203538,0.0049128552863105,0.388168657853286,TRUE
32,878.470872690676,58.9899276437202,-426.235436345338,2.65400391990688,0.00397714514207925,0.392350413984086,TRUE
33,876.437998319611,61.0228020147853,-425.218999159805,2.73535585092862,0.00311564359571086,0.397152539576192,TRUE
34,875.535542363535,61.9252579708614,-424.767771181767,2.80391594285908,0.00252430326600336,0.399269872232758,TRUE
35,875.111152284616,62.3496480497798,-424.555576142308,2.83325816165325,0.00230380788401244,0.400262512955934,TRUE
36,873.562347015576,63.89845331882,-423.781173507788,2.87871674224698,0.0019964839819226,0.403868627808771,TRUE
37,872.368647036068,65.0921532983281,-423.184323518034,2.91918934210321,0.00175471496220777,0.406630358668584,TRUE
38,871.393640836746,66.0671594976503,-422.696820418373,2.96934022618406,0.0014921998256812,0.408874841751296,TRUE
39,869.998922655962,67.4618776784346,-421.999461327981,3.05070444690532,0.00114152593719049,0.412067993881751,TRUE
40,869.245118050712,68.2156822836844,-421.622559025356,3.11001665632531,0.00093538397124871,0.413785265886882,TRUE
41,869.017082934651,68.4437173997449,-421.508541467326,3.14038091230139,0.000843641456381832,0.414303587101674,TRUE
42,868.056908432973,69.4038919014229,-421.028454216487,3.27021275436665,0.000537333121821451,0.416480088917874,TRUE
43,867.33278811209,70.1280122223066,-420.666394056045,3.31970629645139,0.000450560988452225,0.418115155403149,TRUE
44,866.550202374942,70.9105979594538,-420.275101187471,3.38042312250872,0.00036187159273573,0.419876122802054,TRUE
45,866.078330304625,71.3824700297707,-420.039165152313,3.45955055567145,0.000270538846881252,0.420934866802093,TRUE
46,865.65525496825,71.8055453661466,-419.827627484125,3.50260386343119,0.000230367058185439,0.421882174913525,TRUE
47,864.829331386649,72.6314689477476,-419.414665693324,3.55221332419663,0.000191002511758781,0.423726204172443,TRUE
48,864.246021923468,73.214778410928,-419.123010961734,3.59691080230382,0.000161009423273058,0.425024345572951,TRUE
49,862.809266812715,74.6515335216809,-418.404633406358,3.68841933574756,0.000112825770041452,0.428207035889132,TRUE
50,862.207158323934,75.253642010462,-418.103579161967,3.74743665617167,8.93254661444016e-05,0.429534603465102,TRUE
