"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","sd.two_DB","sd.two_EB","R2","converge"
1,2749.94104173813,-3.50312386992346,-1365.97052086907,7.38020778105037,7.90213452776284e-14,NA,NA,0.270865777427839,TRUE
2,2747.01351647016,-0.575598601952152,-1364.50675823508,7.26124686332207,1.91769113785543e-13,NA,NA,0.275139600517761,TRUE
3,2733.970420237,12.4674976312149,-1357.9852101185,6.88231463844431,2.94438828121715e-12,NA,NA,0.293833117527865,TRUE
4,2710.75571189328,35.6822059749356,-1346.37785594664,5.62996069388941,9.01253471831172e-09,NA,NA,0.32574845889783,TRUE
5,2692.16426388236,54.2736539858556,-1337.08213194118,4.45017037453636,4.29010966776026e-06,NA,NA,0.350115973448963,TRUE
6,2681.08938127891,65.3485365892966,-1331.54469063946,4.55649848701325,2.60067068142552e-06,NA,NA,0.364151251599615,TRUE
7,2665.86922590813,80.568691960078,-1323.93461295407,4.49064811653773,3.55033882830676e-06,NA,NA,0.382877614055002,TRUE
8,2661.56456084434,84.8733570238705,-1321.78228042217,4.33853131073967,7.17190259763277e-06,NA,NA,0.388059008999436,TRUE
9,2640.71337836209,105.724539506119,-1311.35668918105,4.19747260065598,1.34955150101682e-05,NA,NA,0.412464733556695,TRUE
10,2634.39102368602,112.046894182187,-1308.19551184301,4.46692159748267,3.96765974371896e-06,NA,NA,0.419644300766188,TRUE
11,2623.94337928596,122.494538582246,-1302.97168964298,4.53881071687261,2.82861943177477e-06,NA,NA,0.431290795646982,TRUE
12,2608.92501843811,137.512899430099,-1295.46250921906,5.14560428135709,1.33330508612914e-07,0.855067845160344,NA,0.447570158596244,TRUE
13,2596.76515928989,149.672758578319,-1289.38257964495,5.7670268688553,4.0341096646317e-09,0.833402898927272,NA,0.460364222066155,TRUE
14,2589.48155124139,156.956366626816,-1285.7407756207,6.40406751834696,7.5645576950162e-11,0.823741823700981,NA,0.467866788298633,TRUE
15,2582.10546360579,164.332454262419,-1282.0527318029,6.74996725608522,7.39392624453743e-12,0.813290596180832,0.700035240602082,0.475344520272439,TRUE
16,2573.53695677858,172.90096108963,-1277.76847838929,7.54628750551222,2.23920415037292e-14,0.80871748921762,0.686947994130058,0.483882325666628,TRUE
17,2569.49440371561,176.9435141526,-1275.74720185781,8.42372360015014,1.82352035059371e-17,0.80335386746131,0.669619274560414,0.487855807684425,TRUE
18,2568.80774119329,177.630176674923,-1275.40387059664,9.16353506325274,2.51122388753009e-20,0.798436680767971,0.658548723890698,0.488527299692701,TRUE
19,2567.02099053263,179.416927335582,-1274.51049526631,9.98871177289922,8.53933846112735e-24,0.794002819331213,0.648322213563731,0.490269922003986,TRUE
20,2565.58384679738,180.854071070833,-1273.79192339869,10.7892120126781,1.9354713373374e-27,0.79008579307556,0.63911891015309,0.491666709223274,TRUE
21,2564.12059304853,182.317324819676,-1273.06029652427,11.7008626704271,6.30821655860253e-32,0.786271488425,0.635249655317313,0.493084436626833,TRUE
22,2560.26926145397,186.168656414242,-1271.13463072698,12.5111053035061,3.24573069114014e-36,0.781794144255634,0.626961135368274,0.496794665119819,TRUE
23,2558.3133184204,188.124599447815,-1270.1566592102,13.3748841433603,4.23928520291994e-41,0.777523416969841,0.619111063009276,0.498667211989715,TRUE
24,2558.1665718287,188.271346039513,-1270.08328591435,14.0914615679757,2.14299181417323e-45,0.773963540008172,0.613726726373082,0.498807384494757,TRUE
25,2557.48730793884,188.95060992937,-1269.74365396942,14.7781174367708,1.01377234043274e-49,0.768631152875815,0.608529084127587,0.499455642653256,TRUE
26,2556.65578270752,189.782135160695,-1269.32789135376,15.595234321252,3.92175484992024e-55,0.766335954405468,0.603484872070221,0.500247925364974,TRUE
27,2558.06276044851,188.375157419704,-1270.03138022425,16.2485308261546,1.14390746393679e-59,0.763327114634517,0.601557513789273,0.4989065185488,TRUE
28,2560.11085199597,186.327065872241,-1271.05542599798,16.8332937452841,6.95708865341711e-64,0.760098233343567,0.598144257352743,0.496946613623012,TRUE
29,2560.58937261073,185.848545257479,-1271.29468630537,17.4904833621011,8.4657555763475e-69,0.757364099271332,0.595535727464915,0.496487452123147,TRUE
30,2560.86908942935,185.568828438863,-1271.43454471467,18.0714438808113,2.67475907338237e-73,0.753326735035739,0.593810584658292,0.496218832662821,TRUE
31,2561.79055753449,184.647360333716,-1271.89527876725,18.6151763011243,1.2103103578982e-77,0.750574057093363,0.592114105650568,0.495332778393351,TRUE
32,2563.62869708783,182.809220780385,-1272.81434854391,19.0132605507605,6.62288852384496e-81,0.749135757470285,0.590344880123472,0.493560025667342,TRUE
33,2563.39542750617,183.042490362044,-1272.69771375308,19.4945152918105,6.11034808584576e-85,0.745481540000741,0.589727241172697,0.493785386083239,TRUE
34,2564.56345593833,181.874461929882,-1273.28172796916,19.7231800148511,6.81891698878895e-87,0.741648364867422,0.589701612405606,0.49265582399764,TRUE
35,2565.27682098484,181.161096883367,-1273.63841049242,20.0301222437851,1.50459204835718e-89,0.740111394342835,0.5885060648694,0.491964553073562,TRUE
36,2565.65993985069,180.777978017524,-1273.82996992534,20.330290095759,3.46955196903347e-92,0.73751003030473,0.587848100733539,0.49159286135029,TRUE
37,2565.23755101272,181.20036685549,-1273.61877550636,20.6790823271657,2.67239399065908e-95,0.734737931213864,0.586542597793917,0.49200263442301,TRUE
38,2563.49754736508,182.94037050313,-1272.74877368254,21.1217065281905,2.51233347382229e-99,0.731804370764293,0.585820074533399,0.493686742596507,TRUE
