"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","R2","converge"
1,948.635971568718,-10.0508454268485,-461.317985784359,-0.729768662704787,0.767234198710988,0.0945919212368102,TRUE
2,947.205944754635,-8.62081861276567,-460.602972377318,-0.889287177557657,0.813075619543099,0.101655167272164,TRUE
3,945.060131197154,-6.47500505528433,-459.530065598577,-0.784812551565646,0.783718260061775,0.1121376514431,TRUE
4,942.848831075495,-4.2637049336256,-458.424415537748,-0.657129266452875,0.744451098948213,0.122796139779872,TRUE
5,939.944186404622,-1.35906026275245,-456.972093202311,-0.445941684230064,0.672180314646082,0.13657843379068,TRUE
6,943.173253039163,-4.58812689729393,-458.586626519582,-0.514355699887774,0.696498337162518,0.121241477476041,TRUE
7,944.519511408648,-5.93438526677846,-459.259755704324,-0.458574174398095,0.676730007109448,0.114756847295341,TRUE
8,940.452709220206,-1.86758307833679,-457.226354610103,-0.302217696658829,0.618756942682448,0.134183225341002,TRUE
9,939.035012301687,-0.449886159817424,-456.517506150843,-0.43947179796949,0.66984014373874,0.140842219058177,TRUE
10,936.544763724882,2.04036241698736,-455.272381862441,-0.355710466527824,0.638971297048802,0.152400165174558,TRUE
11,937.684918827993,0.900207313876763,-455.842459413996,-0.383016658468052,0.649146293724562,0.147130206218768,TRUE
12,938.826121783399,-0.240995641529025,-456.413060891699,-0.328790830113922,0.628843102696301,0.141818513219087,TRUE
13,937.924378773593,0.660747368276475,-455.962189386797,-0.264652675813833,0.604361481479494,0.146018717200291,TRUE
14,938.520095325596,0.0650308162738611,-456.260047662798,-0.308038947885615,0.620973651909142,0.143246542267669,TRUE
15,938.163661435315,0.421464706554502,-456.081830717658,-0.220882850143426,0.587408174383874,0.144906425106696,TRUE
16,938.83160451504,-0.246478373170362,-456.41580225752,-0.27086402136241,0.606752191149341,0.141792904448951,TRUE
17,940.999019955691,-2.41389381382101,-457.499509977845,-0.337793494417581,0.632240593633276,0.131601701781747,TRUE
18,941.116104410404,-2.53097826853457,-457.558052205202,-0.284249499632204,0.611890408019898,0.131047307932309,TRUE
19,940.618779658491,-2.03365351662137,-457.309389829245,-0.249350936952222,0.598455333350995,0.133399394262929,TRUE
20,941.034025122399,-2.44889898052963,-457.5170125612,-0.199934078690214,0.579233931222619,0.131435994331204,TRUE
21,941.381575643615,-2.79644950174566,-457.690787821808,-0.214145042262789,0.584783024119253,0.129788828774006,TRUE
22,941.251888220272,-2.66676207840271,-457.625944110136,-0.181653835403609,0.572072801450748,0.130403874197341,TRUE
23,940.734933664231,-2.14980752236124,-457.367466832115,-0.113004316780721,0.544986433578681,0.132850688044756,TRUE
24,940.76794242687,-2.18281628500017,-457.383971213435,-0.134018205065779,0.553305910630809,0.132694684869871,TRUE
25,940.592461335523,-2.00733519365383,-457.296230667762,-0.177857491239639,0.570582552215449,0.133523666552071,TRUE
26,940.921741691249,-2.3366155493793,-457.460870845624,-0.153877101603724,0.561146680339358,0.13196739573194,TRUE
27,940.644030551769,-2.05890440989981,-457.322015275885,-0.111369264091278,0.544338233943685,0.133280143420368,TRUE
28,940.859537486235,-2.27441134436594,-457.429768743118,-0.123193159695366,0.54902292895888,0.132261630838462,TRUE
29,940.772841578008,-2.18771543613832,-457.386420789004,-0.0617420895019225,0.524615889343695,0.132671528233245,TRUE
30,940.77369032409,-2.18856418222049,-457.386845162045,-0.0454853701464855,0.518139782119239,0.132667516425839,TRUE
31,940.874879123662,-2.2897529817925,-457.437439561831,0.00816283190683595,0.496743537388601,0.132189073042868,TRUE
32,941.399157505778,-2.81403136390804,-457.699578752889,-0.00060193854013668,0.500240138719362,0.129705408750555,TRUE
33,940.99834452242,-2.4132183805508,-457.49917226121,0.0365445297908281,0.485424086383133,0.131604898797926,TRUE
34,940.751454127649,-2.16632798577916,-457.375727063824,0.0345503060390753,0.486219163926385,0.132772614396606,TRUE
35,940.483689989629,-1.89856384775976,-457.241844994815,0.0175435578336381,0.493001492029292,0.134037060613413,TRUE
36,940.899710372869,-2.314584230999,-457.449855186434,0.0136409842024235,0.49455820342092,0.132071619963775,TRUE
37,940.868763497168,-2.2836373552982,-457.434381748584,0.0188788884184557,0.492468860570836,0.132217997525443,TRUE
