"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","R2","converge"
1,417.481135668472,-6.11124930934471,-197.740567834236,0.567093044665233,0.285325484072633,0.135596468178256,TRUE
2,422.048760615847,-10.6788742567193,-198.024380307923,0.0571069608658342,0.477229995752712,0.128038394342214,TRUE
3,420.514012627446,-9.14412626831842,-197.257006313723,0.132590840502634,0.447258488339506,0.148312465444416,TRUE
4,417.497728871449,-6.12784251232159,-195.748864435725,0.0871022167675323,0.465295131679574,0.186699777703668,TRUE
5,414.960135221078,-3.59024886195073,-194.480067610539,0.0984185422112851,0.46079997580093,0.217561170811035,TRUE
6,410.364446663935,1.00543969519225,-192.182223331968,0.754811186582462,0.225181140405769,0.270314907087133,TRUE
7,409.525368701716,1.84451765741119,-191.762684350858,0.266141605271738,0.395065076854341,0.279530589548926,TRUE
8,409.410879705835,1.95900665329287,-191.705439852917,0.338153572748819,0.367623730324476,0.280778399483976,TRUE
9,404.855853101889,6.51403325723874,-189.427926550944,0.441788627484294,0.329321084413488,0.328606132488795,TRUE
10,401.78882323496,9.58106312416754,-187.89441161748,0.201522453364139,0.420145037155056,0.358901081458528,TRUE
11,400.610719371504,10.7591669876237,-187.305359685752,0.433429020834364,0.33235156054313,0.370150165248893,TRUE
12,401.054018491277,10.3158678678503,-187.527009245639,0.683849616339123,0.247035066035975,0.365942040017416,TRUE
13,400.027858769996,11.3420275891314,-187.013929384998,1.1712061727375,0.120757957360207,0.375638218217397,TRUE
14,401.400784906749,9.96910145237877,-187.700392453374,1.40794100306202,0.0795742701589448,0.362629546715967,TRUE
15,401.570850477822,9.79903588130566,-187.785425238911,1.56665014502446,0.0585982449779311,0.360998304549096,TRUE
16,401.155271485411,10.2146148737168,-187.577635742705,1.65515777326964,0.0489462491348968,0.364976705485817,TRUE
17,399.399005828685,11.9708805304427,-186.699502914342,1.72245545871415,0.0424935223927265,0.381502673467293,TRUE
18,398.216301960483,13.153584398645,-186.108150980241,2.00200746480269,0.0226419643439249,0.392375048938544,TRUE
19,397.467398559694,13.9024877994339,-185.733699279847,2.14509203010001,0.0159727447707523,0.399155068924955,TRUE
20,397.143341398668,14.2265449604591,-185.571670699334,2.26308326494572,0.0118152784841269,0.402064049162404,TRUE
21,395.519981689617,15.8499046695104,-184.759990844809,2.3660341572327,0.00898989274895689,0.416414571551227,TRUE
22,394.259918983958,17.1099673751696,-184.129959491979,2.46758597555703,0.00680137754442863,0.427303081816394,TRUE
23,395.133459212225,16.2364271469029,-184.566729606112,2.51322439416034,0.00598166066845674,0.419777614783274,TRUE
24,396.330729607631,15.0391567514964,-185.165364803816,2.53872793290277,0.00556281522425554,0.409293505826921,TRUE
25,396.051295296916,15.3185910622113,-185.025647648458,2.53949735931991,0.00555059416770481,0.411758160998908,TRUE
26,396.232813337425,15.1370730217022,-185.116406668713,2.57085814364271,0.00507234358401123,0.410158380042635,TRUE
27,395.775390402652,15.594495956476,-184.887695201326,2.59227997144712,0.00476710734130683,0.414181049411089,TRUE
28,395.220174255572,16.1497121035557,-184.610087127786,2.62538795128811,0.00432751451316968,0.419024908434796,TRUE
29,394.787282965628,16.5826033934998,-184.393641482814,2.69888690167291,0.00347859077362951,0.422772278690301,TRUE
30,393.53487382011,17.8350125390174,-183.767436910055,2.74272822062551,0.00304655463072188,0.433471188649374,TRUE
31,393.771652845961,17.5982335131668,-183.88582642298,2.66745423596006,0.00382141485797569,0.43146458993097,TRUE
32,392.306675375712,19.0632109834156,-183.153337687856,2.80479177471746,0.00251745472571093,0.443760682210481,TRUE
33,392.27313088646,19.0967554726676,-183.13656544323,2.74913005717137,0.00298768358385822,0.444038934013801,TRUE
34,392.516979266975,18.8529070921525,-183.258489633488,2.70605199573408,0.0034044192084813,0.442012867795418,TRUE
35,392.189957845237,19.1799285138902,-183.094978922619,2.69573948766738,0.00351162853747098,0.444728223587021,TRUE
36,391.911390291375,19.4584960677524,-182.955695145688,2.69381159457896,0.00353200413223532,0.447030288705011,TRUE
37,391.572895958377,19.7969904007508,-182.786447979188,2.72168073226095,0.00324754292242235,0.449814082898864,TRUE
38,390.560415840513,20.8094705186144,-182.280207920257,2.80204903911201,0.0025389577099056,0.458053162553709,TRUE
39,390.332343483518,21.0375428756096,-182.166171741759,2.81280369964989,0.00245558110951017,0.459891146721037,TRUE
40,389.964650441037,21.4052359180904,-181.982325220519,2.84212420677953,0.00224070143028425,0.462840524063759,TRUE
41,388.245506561797,23.1243797973307,-181.122753280898,2.94585788411669,0.00161030167581905,0.476407572065117,TRUE
42,388.01774589392,23.3521404652078,-181.00887294696,2.952021069422,0.00157850694283369,0.478177830218122,TRUE
43,387.806140404595,23.5637459545325,-180.903070202298,2.97225076369012,0.00147812561144276,0.479816895272009,TRUE
44,387.774672959258,23.5952133998696,-180.887336479629,3.01073526039995,0.00130307984610178,0.480060175709215,TRUE
45,388.087325154278,23.2825612048492,-181.043662577139,2.93369614858439,0.00167475968434432,0.477637696253024,TRUE
46,388.233563244424,23.1363231147039,-181.116781622212,2.92579132833812,0.00171790656112244,0.476500557291333,TRUE
47,388.507416001953,22.8624703571742,-181.253708000977,2.87981221849812,0.00198956046173715,0.47436410037298,TRUE
48,388.078989200971,23.290897158157,-181.039494600485,2.9546775032235,0.00156498021510421,0.477702438003331,TRUE
49,388.472188794871,22.8976975642564,-181.236094397436,2.93306628122986,0.00167816115595746,0.474639436870416,TRUE
50,388.713617288063,22.6562690710645,-181.356808644032,2.96071320670628,0.00153463799895946,0.472749386145315,TRUE
