"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-2.6375686939061,0.0676793078391155,-38.9715672059771,2.72724137651179e-105,NA,NA,NA,NA,NA,NA,NA,-2.6375686939061,0.0676793078391155,0.95,-2.76734551171063,-2.50191651705929,-38.9715672059771,238,0
"DBH05",0.0685928459818596,0.0686619921438217,0.998992948503195,0.318812699666441,1.02503201468381,1.00015548198696,5.03006014648078,1.01243864736774,0.975579285012347,0.19880477983939,0.999844542183933,0.0685928459818596,0.0686619921438217,0.95,-0.0632416921840582,0.199792257541636,0.998992948503195,238,0.31779810721876
"slope",0.0186947814811123,0.0769935586378554,0.242809681898774,0.808361959716305,1.2888827657894,1.14907366487032,1.55981217368426,1.13528972768602,0.775865754855939,0.641102830758149,0.87026622450081,0.0186947814811123,0.0769935586378554,0.95,-0.131435216030343,0.174033524407865,0.242809681898774,238,0.808152834921388
"TPI",0.00919101693733321,0.077720727549409,0.118256959592797,0.905963804717124,1.31334354860233,1.16707672066201,1.58765924457735,1.14601201939697,0.761415397413883,0.62985807780574,0.856841698832584,0.00919101693733321,0.077720727549409,0.95,-0.149443901167402,0.16283620201807,0.118256959592797,238,0.905864059300945
"two_DB",-0.01742767059972,0.0692943869037672,-0.251501909150631,0.801643109224794,1.04400058853843,1.00220109700971,1.87958494477585,1.02176346995693,0.957853866155356,0.5320323525571,0.997803737177825,-0.01742767059972,0.0692943869037672,0.95,-0.154126256360544,0.130456811208095,-0.251501909150631,238,0.801426086332462
"two_EB",-0.1524073508906,0.0682373315538169,-2.23348931472211,0.0264467342957289,1.0123919908822,1.00000055291642,278.729928612291,1.00617691828137,0.987759690916364,0.00358770227861316,0.999999447083885,-0.1524073508906,0.0682373315538169,0.95,-0.28184108544112,-0.0156391988480288,-2.23348931472211,238,0.0255166941862954
"(Intercept)",-2.65309349007629,0.0614742702533743,-43.1577874636205,1.55957668291937e-114,NA,NA,NA,NA,NA,NA,NA,-2.65309349007629,0.0614742702533743,0.95,-2.77120622664395,-2.53013340937272,-43.1577874636205,238,0
"DBH05",0.0487108917483798,0.0634084314825771,0.768208432371714,0.443124913999594,1.05955548437014,1.00611468928564,1.58005493866893,1.02934711558839,0.943792009716661,0.632889386012377,0.993922472904176,0.0487108917483798,0.0634084314825771,0.95,-0.072882189924233,0.169761773329286,0.768208432371714,238,0.442363364604987
"slope",0.0204059581077357,0.0695564192225041,0.293372751729197,0.769492900456524,1.27498218310792,1.13892430519038,1.54429065470708,1.12915108958364,0.784324685669241,0.647546494535821,0.878021476442938,0.0204059581077357,0.0695564192225041,0.95,-0.115831793408686,0.160982559492823,0.293372751729197,238,0.769237250590299
"TPI",0.0701558222285151,0.0725080131573172,0.967559572709589,0.334246555860608,1.38548456843279,1.22096413048278,1.6724998857287,1.17706608498962,0.721769136072852,0.597907365215936,0.819024879629011,0.0701558222285151,0.0725080131573172,0.95,-0.0740124784824192,0.210277243001135,0.967559572709589,238,0.333264375775353
"two_DB",0.0102852967093653,0.0636230034107953,0.161660031089009,0.871710732766136,1.0667386154371,1.00852910855197,1.52221668458367,1.03283039045,0.937436768041102,0.65693669641619,0.991543021931998,0.0102852967093653,0.0636230034107953,0.95,-0.11859965914788,0.141753720230391,0.161660031089009,238,0.871573581013359
"two_EB",-0.238322762949624,0.0646802213203946,-3.68463122241169,0.000283584632426636,1.10248497065607,1.02466767679382,1.42578672074243,1.04999284314517,0.90704184330505,0.701367171858133,0.975926168695973,-0.238322762949624,0.0646802213203946,0.95,-0.365847086784078,-0.11170340478505,-3.68463122241169,238,0.000229034006769327
"(Intercept)",-2.6531360883131,0.0587390890843242,-45.1681517311977,9.9319875223525e-119,NA,NA,NA,NA,NA,NA,NA,-2.6531360883131,0.0587390890843242,0.95,-2.76609258489908,-2.53575402549375,-45.1681517311977,238,0
