"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-1.80394397805125,0.0458117915397018,-39.377285136031,6.055448881931e-126,NA,NA,NA,NA,NA,NA,NA,-1.80394397805125,0.0458117915397018,0.95,-1.89240768809503,-1.71278833226738,-39.377285136031,326,0
"DBH05",0.297792980833551,0.0468910031755856,6.35074877196487,7.19218416402253e-10,1.04451433929992,1.00342552444949,1.57845927901781,1.02201484299394,0.957382739877214,0.63352917195447,0.996586169709638,0.297792980833551,0.0468910031755856,0.95,0.207405023154619,0.389614236066191,6.35074877196487,326,2.14269394300822e-10
"slope",0.144637508588489,0.0518643066936946,2.7887678021554,0.00560174551823776,1.27782832845391,1.15447637365101,1.49967887170808,1.13041069017146,0.782577735782346,0.666809420913582,0.866193559975175,0.144637508588489,0.0518643066936946,0.95,0.036950890054314,0.252896058620673,2.7887678021554,326,0.00529089838204612
"TPI",0.0119287837323449,0.0522501669395853,0.228301351575349,0.819555108672445,1.29691264022965,1.169140128245,1.52120757411539,1.13882072348094,0.771061958207862,0.657372482898345,0.855329464656309,0.0119287837323449,0.0522501669395853,0.95,-0.0865978930831617,0.109778355888731,0.228301351575349,326,0.819411973897844
"two_DB",0.0174538909410358,0.0461785349640175,0.377965454179868,0.70570223625033,1.01301449485447,1.00000335192456,51.5312913098982,1.00648621195447,0.987152706184784,0.0194056848679808,0.999996648086677,0.0174538909410358,0.0461785349640175,0.95,-0.0721405469199417,0.115664547780452,0.377965454179868,326,0.705456257218757
"two_EB",-0.0291171372474699,0.0471285767036445,-0.617823394722172,0.53712310454376,1.05512522684258,1.00667479686569,1.45526338787428,1.02719288687305,0.947754801572185,0.687160831731437,0.993369460637664,-0.0291171372474699,0.0471285767036445,0.95,-0.122250732918887,0.0670937299198557,-0.617823394722172,326,0.536691760251342
"(Intercept)",-1.80693470547198,0.0450745717985961,-40.0876732350512,4.81642829778115e-128,NA,NA,NA,NA,NA,NA,NA,-1.80693470547198,0.0450745717985961,0.95,-1.89399549922089,-1.7172679178773,-40.0876732350512,326,0
"DBH05",0.278321123672663,0.048512169785771,5.7371402866894,2.20002273074511e-08,1.15485667763969,1.06381047278275,1.37580963694231,1.07464258134493,0.865908315171899,0.726844741560662,0.940017066559015,0.278321123672663,0.048512169785771,0.95,0.186356769194675,0.371755902270248,5.7371402866894,326,9.62884983144583e-09
"slope",0.150216668825997,0.0512353206260547,2.93189672652517,0.00360720820151,1.28814753669217,1.16239354011701,1.51128267073886,1.13496587468178,0.77630859161358,0.661689582870097,0.860293838091472,0.150216668825997,0.0512353206260547,0.95,0.0440872671392614,0.256972333532445,2.93189672652517,326,0.00336898758133782
"TPI",0.0220490625157375,0.0511455836587394,0.431103937787793,0.666677717302025,1.28363919275842,1.15893107114164,1.50620178352006,1.13297801953896,0.779035110209662,0.663921667695117,0.86286408648525,0.0220490625157375,0.0511455836587394,0.95,-0.0740328366204766,0.117582968439571,0.431103937787793,326,0.666392797546534
"two_DB",0.0366908008658749,0.0454741759292189,0.806849164743185,0.420341632562139,1.01474370534031,1.00000976663307,23.2570916231852,1.00734487904605,0.985470513132809,0.0429976377185138,0.999990233462313,0.0366908008658749,0.0454741759292189,0.95,-0.0528398791173586,0.130219561788353,0.806849164743185,326,0.419753389686493
"two_EB",-0.0834702207652733,0.0490481679594778,-1.70180098947292,0.0897460672473117,1.18051707018318,1.08189743443434,1.39789296029348,1.08651602389619,0.847086438017222,0.715362354918832,0.924302034714447,-0.0834702207652733,0.0490481679594778,0.95,-0.184359207992733,0.0153040081351931,-1.70180098947292,326,0.0887926809663581
"(Intercept)",-1.82066671422926,0.0429691036671558,-42.3715311432227,1.25245120005778e-134,NA,NA,NA,NA,NA,NA,NA,-1.82066671422926,0.0429691036671558,0.95,-1.90371718138992,-1.7352480411436,-42.3715311432227,326,0
"DBH05",0.21809697154079,0.0486853697920869,4.47972301478212,1.03550284464672e-05,1.27989477861305,1.15605947049969,1.50199508459181,1.13132434722013,0.781314227317692,0.665781140203776,0.86500740274872,0.21809697154079,0.0486853697920869,0.95,0.125522644094597,0.311505556787413,4.47972301478212,326,7.47399638394287e-06
"slope",0.153500658462234,0.0488994824648909,3.13910599304287,0.00184956005262842,1.29117719446387,1.16472332773126,1.51470644591501,1.13629978195187,0.774487037323504,0.660193929125266,0.858572998574585,0.153500658462234,0.0488994824648909,0.95,0.0531473474879225,0.254471632573661,3.13910599304287,326,0.00169464138917449
"TPI",0.0593378844369045,0.0501060494549178,1.18424591606035,0.23717843644033,1.35568142843877,1.21478985327173,1.58899094444743,1.16433733446917,0.737636423294242,0.62933020700615,0.823187646247417,0.0593378844369045,0.0501060494549178,0.95,-0.0342623079993928,0.152612162409231,1.18424591606035,326,0.236315731061251
"two_DB",-0.0370602938863092,0.0433984510153283,-0.853954300655098,0.393757363501,1.01701130139213,1.00002907227255,10.9539647121879,1.00846978209172,0.983273242520668,0.0912911467468348,0.999970928572624,-0.0370602938863092,0.0433984510153283,0.95,-0.123864321366756,0.0507513091595769,-0.853954300655098,326,0.393130310892237
"two_EB",-0.22400378641182,0.0495615054655845,-4.51971311822576,8.67457515432689e-06,1.32637491904795,1.19194468247068,1.55495461719722,1.15168351514118,0.753934642188336,0.643105585809626,0.838965108621641,-0.22400378641182,0.0495615054655845,0.95,-0.333565660159252,-0.118763929825594,-4.51971311822576,326,6.19234845767758e-06
"(Intercept)",-1.83988651665405,0.0406076254488968,-45.3088920200341,9.59557440592877e-143,NA,NA,NA,NA,NA,NA,NA,-1.83988651665405,0.0406076254488968,0.95,-1.91843254613811,-1.75922544342644,-45.3088920200341,326,0
"DBH05",0.129742068820893,0.0509823373182267,2.54484348198978,0.0113932279944042,1.57149934731827,1.38574827170972,1.84669596194843,1.25359457055232,0.636334976343758,0.541507655079783,0.721631785812161,0.129742068820893,0.0509823373182267,0.95,0.0333984179803621,0.22623548939346,2.54484348198978,326,0.0109326729975764
