"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","sd.two_DB","sd.two_EB","R2","converge"
1,664.395343599065,-3.40689667730408,-325.197671799533,5.09351139564225,1.75745956556465e-07,2.08337253074315,1.579022497047,0.3487830060698,TRUE
2,664.073029469569,-3.08458254780726,-325.036514734784,4.97336800228311,3.28997911426236e-07,2.28668887827623,2.3303337713099,0.350612470610892,TRUE
3,662.603450306711,-1.61500338494966,-324.301725153356,4.94656898483409,3.77664836908811e-07,2.0019843312275,2.36896697178284,0.358881751196273,TRUE
4,657.847203042811,3.14124387895038,-321.923601521405,4.6156209871846,1.95960818141761e-06,1.63859725524335,2.08997322241159,0.384853787489188,TRUE
5,655.622175862131,5.36627105963032,-320.811087931066,4.43158825248765,4.6770756375393e-06,1.22491000233873,1.57900701768912,0.39660154549577,TRUE
6,655.532390512795,5.45605640896667,-320.766195256397,4.52629889100572,3.00128338565449e-06,1.21369030561576,1.29533791807891,0.397070353796479,TRUE
7,655.97092691006,5.01752001170098,-320.98546345503,4.70391823657748,1.27607744474454e-06,1.10243758366711,1.14195326616852,0.394776733451887,TRUE
8,654.098311461209,6.89013546055207,-320.049155730605,5.00673558757193,2.76804463330454e-07,1.09047311632793,0.965386653560483,0.404503932557007,TRUE
9,650.315914913803,10.6725320079581,-318.157957456902,4.77202070939577,9.11933726253598e-07,0.881600101268122,0.845922413770682,0.423628593361451,TRUE
10,649.270547315145,11.7178996066167,-317.635273657572,4.89344032137909,4.95441854910803e-07,0.850626211786031,0.772228572749155,0.42879384653863,TRUE
11,649.43969686422,11.5487500575412,-317.71984843211,5.18978468479845,1.0526869465273e-07,0.840414925213602,0.724197838384796,0.427961538830449,TRUE
12,650.068422407079,10.9200245146823,-318.03421120354,5.05777543514008,2.12087758391318e-07,0.829913245416925,0.683077348563408,0.4248561161637,TRUE
13,647.068031561969,13.9204153597926,-316.534015780984,5.37345990480557,3.86199934088129e-08,0.799921936526701,0.651263815697813,0.439510378910473,TRUE
14,647.444316246417,13.5441306753446,-316.722158123208,5.4922872663818,1.9838066600525e-08,0.792220922217989,0.642058468397593,0.437695341501342,TRUE
15,647.357371408949,13.6310755128122,-316.678685704475,5.49622440817905,1.94004349482771e-08,0.783992579164124,0.632162113903689,0.438115301165634,TRUE
16,647.306993194738,13.681453727023,-316.653496597369,5.49067661959263,2.00198433569158e-08,0.770204912558335,0.624786383210934,0.438358479084184,TRUE
17,646.606628783495,14.381818138266,-316.303314391748,5.70098555835938,5.95583642257728e-09,0.758800070629722,0.620141764615279,0.44172718371028,TRUE
18,646.416388570773,14.5720583509881,-316.208194285387,5.68053018385264,6.71389259431681e-09,0.755968417907062,0.61543120491376,0.442638376844863,TRUE
