distance,group,SP,layer,deltaAIC
1,EB,canopy,understory,-3.447868836
2,EB,canopy,understory,-0.665540573
3,EB,canopy,understory,11.66197323
4,EB,canopy,understory,34.2999825
5,EB,canopy,understory,52.91344931
6,EB,canopy,understory,63.5134236
7,EB,canopy,understory,78.25456087
8,EB,canopy,understory,82.67089622
9,EB,canopy,understory,103.3818626
10,EB,canopy,understory,109.5668004
11,EB,canopy,understory,119.8719356
12,EB,canopy,understory,134.9595253
13,EB,canopy,understory,146.9854136
14,EB,canopy,understory,154.3067622
15,EB,canopy,understory,161.8189757
16,EB,canopy,understory,170.4204361
17,EB,canopy,understory,174.6564654
18,EB,canopy,understory,175.4252861
19,EB,canopy,understory,177.2712386
20,EB,canopy,understory,178.6248326
21,EB,canopy,understory,180.1667077
22,EB,canopy,understory,184.0282521
23,EB,canopy,understory,185.8373727
24,EB,canopy,understory,185.9962991
25,EB,canopy,understory,186.5993063
26,EB,canopy,understory,187.5081967
27,EB,canopy,understory,186.1553475
28,EB,canopy,understory,184.0341522
29,EB,canopy,understory,183.552136
30,EB,canopy,understory,183.2023149
31,EB,canopy,understory,182.3329452
32,EB,canopy,understory,180.5070483
33,EB,canopy,understory,180.7243209
34,EB,canopy,understory,179.5531949
35,EB,canopy,understory,178.8169694
36,EB,canopy,understory,178.4291576
37,EB,canopy,understory,178.8520088
38,EB,canopy,understory,180.5986817
39,EB,canopy,understory,182.6548991
40,EB,canopy,understory,183.2982367
41,EB,canopy,understory,183.9065136
42,EB,canopy,understory,185.1693431
43,EB,canopy,understory,185.8106042
44,EB,canopy,understory,187.5798371
45,EB,canopy,understory,189.3363147
46,EB,canopy,understory,191.2625256
47,EB,canopy,understory,192.3935924
48,EB,canopy,understory,194.0874968
49,EB,canopy,understory,196.1324339
50,EB,canopy,understory,198.1840241
1,EB,canopy,overstory,-3.55010167
2,EB,canopy,overstory,-3.987195894
3,EB,canopy,overstory,-1.982112952
4,EB,canopy,overstory,-0.727008893
5,EB,canopy,overstory,0.907036859
6,EB,canopy,overstory,-0.06574412
7,EB,canopy,overstory,0.818732239
8,EB,canopy,overstory,1.941759202
9,EB,canopy,overstory,4.627561644
10,EB,canopy,overstory,6.800727169
11,EB,canopy,overstory,7.509375528
12,EB,canopy,overstory,8.29841395
13,EB,canopy,overstory,9.693451162
14,EB,canopy,overstory,9.486887881
15,EB,canopy,overstory,9.483456695
16,EB,canopy,overstory,10.12730515
17,EB,canopy,overstory,11.96829812
18,EB,canopy,overstory,12.72331188
19,EB,canopy,overstory,13.28810753
20,EB,canopy,overstory,13.5441814
21,EB,canopy,overstory,13.90227119
22,EB,canopy,overstory,13.97171343
23,EB,canopy,overstory,13.0439826
24,EB,canopy,overstory,12.53843111
25,EB,canopy,overstory,12.48522293
26,EB,canopy,overstory,13.06037585
27,EB,canopy,overstory,13.95577165
28,EB,canopy,overstory,14.24501333
29,EB,canopy,overstory,14.67971601
30,EB,canopy,overstory,15.2408247
31,EB,canopy,overstory,14.92036572
32,EB,canopy,overstory,15.42255346
33,EB,canopy,overstory,15.76117615
